Date,Value,Volume
09.12.2022,1.053,81.68K
08.12.2022,1.0556,89.81K
07.12.2022,1.0505,102.17K
06.12.2022,1.0469,83.94K
05.12.2022,1.0491,91.07K
02.12.2022,1.0538,82.22K
01.12.2022,1.0522,108.31K
30.11.2022,1.0405,92.19K
29.11.2022,1.0327,75.18K
28.11.2022,1.0337,78.44K
25.11.2022,1.0395,70.18K
24.11.2022,1.0408,68.51K
23.11.2022,1.0395,74.48K
22.11.2022,1.0302,79.18K
21.11.2022,1.0241,82.17K
18.11.2022,1.0324,95.10K
17.11.2022,1.036,98.80K
16.11.2022,1.0392,103.83K
15.11.2022,1.0348,104.61K
14.11.2022,1.0325,103.34K
11.11.2022,1.0352,113.99K
10.11.2022,1.0208,128.78K
09.11.2022,1.0011,117.09K
08.11.2022,1.0072,100.70K
07.11.2022,1.0019,94.49K
04.11.2022,0.996,86.22K
03.11.2022,0.9751,76.01K
02.11.2022,0.9817,77.34K
01.11.2022,0.9874,71.01K
31.10.2022,0.9883,75.22K
28.10.2022,0.9963,76.68K
27.10.2022,0.9962,110.90K
26.10.2022,1.0077,84.30K
25.10.2022,0.9964,74.00K
24.10.2022,0.9874,91.24K
21.10.2022,0.986,92.87K
20.10.2022,0.9783,92.63K
19.10.2022,0.9771,88.91K
18.10.2022,0.9852,98.98K
17.10.2022,0.9838,88.29K
14.10.2022,0.9719,108.59K
13.10.2022,0.9773,95.28K
12.10.2022,0.9704,93.22K
11.10.2022,0.9703,127.21K
10.10.2022,0.97,97.22K
07.10.2022,0.9741,78.52K
06.10.2022,0.9788,89.26K
05.10.2022,0.9882,88.68K
04.10.2022,0.9983,86.11K
03.10.2022,0.9824,97.65K
30.09.2022,0.9799,94.06K
29.09.2022,0.9814,96.26K
28.09.2022,0.9734,104.44K
27.09.2022,0.9592,104.22K
26.09.2022,0.9606,109.84K
23.09.2022,0.969,90.97K
22.09.2022,0.9836,103.83K
21.09.2022,0.9837,87.44K
20.09.2022,0.997,72.94K
19.09.2022,1.0022,63.18K
16.09.2022,1.0015,72.84K
15.09.2022,0.9999,69.08K
14.09.2022,0.9977,87.67K
13.09.2022,0.997,77.65K
12.09.2022,1.0119,62.34K
09.09.2022,1.0039,76.39K
08.09.2022,0.9994,86.34K
07.09.2022,0.9999,82.61K
06.09.2022,0.9902,101.49K
05.09.2022,0.9926,67.11K
02.09.2022,0.9951,68.96K
01.09.2022,0.9944,85.85K
31.08.2022,1.0057,87.59K
30.08.2022,1.0012,90.21K
29.08.2022,0.9995,59.85K
26.08.2022,0.9961,60.92K
25.08.2022,0.9974,82.50K
24.08.2022,0.9965,67.56K
23.08.2022,0.9967,82.39K
22.08.2022,0.9941,87.97K
19.08.2022,1.0034,76.59K
18.08.2022,1.0088,78.31K
17.08.2022,1.018,92.06K
16.08.2022,1.017,63.58K
15.08.2022,1.016,64.99K
12.08.2022,1.0258,80.25K
11.08.2022,1.0317,84.77K
10.08.2022,1.0297,88.51K
09.08.2022,1.0211,80.55K
08.08.2022,1.0195,67.81K
05.08.2022,1.0181,82.58K
04.08.2022,1.0243,79.41K
03.08.2022,1.0164,79.90K
02.08.2022,1.0164,102.38K
01.08.2022,1.0261,84.58K
29.07.2022,1.0218,81.82K
28.07.2022,1.0196,106.64K
27.07.2022,1.0202,76.15K
26.07.2022,1.0114,79.22K
25.07.2022,1.022,77.43K
22.07.2022,1.021,73.44K
21.07.2022,1.0228,105.36K
20.07.2022,1.0177,92.86K
19.07.2022,1.0224,80.21K
18.07.2022,1.0141,74.88K
15.07.2022,1.0087,77.73K
14.07.2022,1.0016,89.57K
13.07.2022,1.006,82.54K
12.07.2022,1.0036,87.76K
11.07.2022,1.0039,77.38K
08.07.2022,1.0183,90.46K
07.07.2022,1.0159,86.85K
06.07.2022,1.0181,95.91K
05.07.2022,1.0266,85.14K
04.07.2022,1.0421,68.80K
01.07.2022,1.0428,68.09K
30.06.2022,1.0482,83.87K
29.06.2022,1.0439,90.48K
28.06.2022,1.0518,92.98K
27.06.2022,1.0583,86.89K
24.06.2022,1.0554,88.51K
23.06.2022,1.0523,111.48K
22.06.2022,1.0565,84.04K
21.06.2022,1.0525,83.47K
20.06.2022,1.0509,76.94K
17.06.2022,1.0498,85.55K
16.06.2022,1.0547,138.96K
15.06.2022,1.0443,104.81K
14.06.2022,1.0414,86.87K
13.06.2022,1.0408,75.50K
10.06.2022,1.0515,70.02K
09.06.2022,1.0614,79.98K
08.06.2022,1.0714,57.45K
07.06.2022,1.0699,62.17K
06.06.2022,1.0694,61.18K
03.06.2022,1.0718,36.97K
02.06.2022,1.0745,52.86K
01.06.2022,1.0646,57.34K
31.05.2022,1.0733,72.22K
30.05.2022,1.0777,54.77K
27.05.2022,1.0727,64.64K
26.05.2022,1.0724,64.32K
25.05.2022,1.068,73.49K
24.05.2022,1.0734,68.66K
23.05.2022,1.0689,72.25K
20.05.2022,1.056,79.33K
19.05.2022,1.0586,78.99K
18.05.2022,1.0466,79.53K
17.05.2022,1.0547,76.97K
16.05.2022,1.0431,63.92K
13.05.2022,1.0411,75.66K
12.05.2022,1.0379,103.61K
11.05.2022,1.0511,107.91K
10.05.2022,1.0527,71.60K
09.05.2022,1.0555,66.96K
06.05.2022,1.0551,84.53K
05.05.2022,1.054,85.99K
04.05.2022,1.0621,64.71K
03.05.2022,1.052,68.53K
02.05.2022,1.0504,49.74K
29.04.2022,1.0541,87.17K
28.04.2022,1.0494,89.07K
27.04.2022,1.0555,89.56K
26.04.2022,1.0636,91.48K
25.04.2022,1.0711,98.74K
22.04.2022,1.0794,74.46K
21.04.2022,1.0836,85.69K
20.04.2022,1.085,83.76K
19.04.2022,1.0786,77.56K
18.04.2022,1.078,34.70K
15.04.2022,1.0806,39.97K
14.04.2022,1.0827,86.69K
13.04.2022,1.0885,74.81K
12.04.2022,1.0826,55.12K
11.04.2022,1.0883,61.06K
08.04.2022,1.0876,56.37K
07.04.2022,1.0878,63.15K
06.04.2022,1.0893,57.66K
05.04.2022,1.0903,50.42K
04.04.2022,1.097,70.48K
01.04.2022,1.1053,96.87K
31.03.2022,1.1065,77.25K
30.03.2022,1.1156,82.34K
29.03.2022,1.1085,84.95K
28.03.2022,1.0978,58.63K
25.03.2022,1.0981,55.19K
24.03.2022,1.0996,54.04K
23.03.2022,1.1004,62.58K
22.03.2022,1.1027,67.25K
21.03.2022,1.1014,64.42K
18.03.2022,1.1055,58.86K
17.03.2022,1.1089,76.72K
16.03.2022,1.1032,83.23K
15.03.2022,1.0951,80.80K
14.03.2022,1.0939,69.05K
11.03.2022,1.0909,87.09K
10.03.2022,1.0983,88.31K
09.03.2022,1.1075,100.09K
08.03.2022,1.0899,99.68K
07.03.2022,1.0852,100.00K
04.03.2022,1.0926,82.96K
03.03.2022,1.1064,78.70K
02.03.2022,1.1121,79.28K
01.03.2022,1.1126,89.11K
28.02.2022,1.1219,86.10K
25.02.2022,1.1267,79.32K
24.02.2022,1.1191,103.42K
23.02.2022,1.1309,64.39K
22.02.2022,1.1325,85.66K
21.02.2022,1.131,51.07K
18.02.2022,1.1321,64.20K
17.02.2022,1.136,80.17K
16.02.2022,1.1373,70.76K
15.02.2022,1.1356,74.42K
14.02.2022,1.1305,81.23K
11.02.2022,1.1349,82.40K
10.02.2022,1.1427,84.63K
09.02.2022,1.1422,67.49K
08.02.2022,1.1414,100.06K
07.02.2022,1.1442,75.92K
04.02.2022,1.1446,85.84K
03.02.2022,1.1438,68.02K
02.02.2022,1.1303,48.06K
01.02.2022,1.1269,53.47K
31.01.2022,1.1233,55.96K
28.01.2022,1.1143,62.02K
27.01.2022,1.1143,68.31K
26.01.2022,1.1237,62.70K
25.01.2022,1.1299,72.71K
24.01.2022,1.1323,93.65K
21.01.2022,1.134,70.09K
20.01.2022,1.131,74.10K
19.01.2022,1.1341,87.94K
18.01.2022,1.1325,102.17K
17.01.2022,1.1407,60.66K
14.01.2022,1.1414,63.77K
13.01.2022,1.1453,59.44K
12.01.2022,1.1442,60.52K
11.01.2022,1.1364,58.48K
10.01.2022,1.1324,55.31K
07.01.2022,1.1359,44.10K
06.01.2022,1.1291,66.51K
05.01.2022,1.1313,45.06K
04.01.2022,1.1285,47.58K
03.01.2022,1.1294,33.87K
31.12.2021,1.1368,25.72K
30.12.2021,1.1323,37.87K
29.12.2021,1.1348,42.45K
28.12.2021,1.1309,43.38K
27.12.2021,1.1325,38.12K
24.12.2021,1.1317,47.10K
23.12.2021,1.1328,58.12K
22.12.2021,1.1324,62.74K
21.12.2021,1.1283,74.53K
20.12.2021,1.1275,80.10K
17.12.2021,1.1239,64.50K
16.12.2021,1.1328,67.61K
15.12.2021,1.1285,101.40K
14.12.2021,1.1257,153.70K
13.12.2021,1.1283,75.51K
10.12.2021,1.1311,89.00K
09.12.2021,1.1292,81.41K
08.12.2021,1.1342,141.96K
07.12.2021,1.1263,155.96K
06.12.2021,1.1285,93.43K
03.12.2021,1.1313,79.00K
02.12.2021,1.1299,85.49K
01.12.2021,1.1319,117.46K
30.11.2021,1.1336,128.37K
29.11.2021,1.1291,85.22K
26.11.2021,1.1317,118.35K
25.11.2021,1.1206,77.42K
24.11.2021,1.1197,81.95K
23.11.2021,1.1246,94.41K
22.11.2021,1.1234,130.39K
19.11.2021,1.1288,64.96K
18.11.2021,1.1369,102.38K
17.11.2021,1.1319,84.79K
16.11.2021,1.1319,75.97K
15.11.2021,1.1367,68.25K
12.11.2021,1.145,67.65K
11.11.2021,1.145,52.72K
10.11.2021,1.1478,77.73K
09.11.2021,1.1591,59.02K
08.11.2021,1.1586,68.43K
05.11.2021,1.1566,73.65K
04.11.2021,1.1552,81.97K
03.11.2021,1.161,84.99K
02.11.2021,1.1577,76.22K
01.11.2021,1.1606,88.67K
29.10.2021,1.1561,66.75K
28.10.2021,1.1679,76.73K
27.10.2021,1.1604,58.77K
26.10.2021,1.1595,52.40K
25.10.2021,1.1606,64.09K
22.10.2021,1.1647,59.50K
21.10.2021,1.1621,62.61K
20.10.2021,1.1649,58.83K
19.10.2021,1.1632,54.63K
18.10.2021,1.1609,80.36K
15.10.2021,1.16,77.65K
14.10.2021,1.1594,47.44K
13.10.2021,1.1592,81.90K
12.10.2021,1.1527,49.29K
11.10.2021,1.1551,61.78K
08.10.2021,1.1567,55.79K
07.10.2021,1.155,58.88K
06.10.2021,1.1556,68.60K
05.10.2021,1.1596,67.91K
04.10.2021,1.1621,52.39K
01.10.2021,1.1594,51.54K
30.09.2021,1.1581,73.40K
29.09.2021,1.1595,66.60K
28.09.2021,1.1681,74.31K
27.09.2021,1.1694,60.19K
24.09.2021,1.1714,75.21K
23.09.2021,1.1736,70.89K
22.09.2021,1.1686,74.06K
21.09.2021,1.1723,67.83K
20.09.2021,1.1725,68.96K
17.09.2021,1.1725,66.23K
16.09.2021,1.1764,91.38K
15.09.2021,1.1815,66.94K
14.09.2021,1.1802,69.13K
13.09.2021,1.1808,51.85K
10.09.2021,1.1814,66.66K
09.09.2021,1.1825,60.73K
08.09.2021,1.1813,79.42K
07.09.2021,1.1839,72.58K
06.09.2021,1.1868,49.82K
03.09.2021,1.1882,84.79K
02.09.2021,1.1873,62.57K
01.09.2021,1.1837,75.94K
31.08.2021,1.1807,72.91K
30.08.2021,1.1795,52.84K
27.08.2021,1.1793,96.31K
26.08.2021,1.175,76.18K
25.08.2021,1.177,77.10K
24.08.2021,1.1753,47.89K
23.08.2021,1.1743,55.86K
20.08.2021,1.1696,60.24K
19.08.2021,1.1674,77.27K
18.08.2021,1.171,71.01K
17.08.2021,1.1708,66.42K
16.08.2021,1.1777,67.85K
13.08.2021,1.1791,61.35K
12.08.2021,1.1727,71.78K
11.08.2021,1.1737,64.43K
10.08.2021,1.1718,110.03K
09.08.2021,1.1737,75.77K
06.08.2021,1.176,64.10K
05.08.2021,1.1832,77.63K
04.08.2021,1.1835,71.34K
03.08.2021,1.186,57.12K
02.08.2021,1.1867,46.14K
30.07.2021,1.187,60.74K
29.07.2021,1.1886,80.60K
28.07.2021,1.1842,93.67K
27.07.2021,1.1814,64.66K
26.07.2021,1.1799,49.61K
23.07.2021,1.1771,72.94K
22.07.2021,1.177,61.50K
21.07.2021,1.1792,63.86K
20.07.2021,1.1779,97.72K
19.07.2021,1.1798,77.07K
16.07.2021,1.1805,71.22K
15.07.2021,1.1812,75.96K
14.07.2021,1.1835,53.48K
13.07.2021,1.1774,57.96K
12.07.2021,1.1859,73.85K
09.07.2021,1.1873,51.08K
08.07.2021,1.1842,58.99K
07.07.2021,1.1789,57.91K
06.07.2021,1.1822,90.38K
05.07.2021,1.1861,51.44K
02.07.2021,1.1864,62.36K
01.07.2021,1.1848,53.04K
30.06.2021,1.1855,60.66K
29.06.2021,1.1895,57.47K
28.06.2021,1.1924,51.12K
25.06.2021,1.1933,61.85K
24.06.2021,1.193,77.34K
23.06.2021,1.1925,64.07K
22.06.2021,1.1938,76.87K
21.06.2021,1.1915,107.09K
18.06.2021,1.186,101.78K
17.06.2021,1.1906,88.24K
16.06.2021,1.1994,79.82K
15.06.2021,1.2124,61.73K
14.06.2021,1.2118,49.58K
11.06.2021,1.2106,79.62K
10.06.2021,1.2169,77.81K
09.06.2021,1.2178,58.04K
08.06.2021,1.2171,58.82K
07.06.2021,1.2189,47.63K
04.06.2021,1.2165,63.13K
03.06.2021,1.2124,59.68K
02.06.2021,1.2209,67.04K
01.06.2021,1.2211,73.68K
31.05.2021,1.2225,75.22K
28.05.2021,1.2189,66.94K
27.05.2021,1.2192,88.02K
26.05.2021,1.219,81.36K
25.05.2021,1.225,94.46K
24.05.2021,1.2215,89.84K
21.05.2021,1.2179,98.55K
20.05.2021,1.2226,101.34K
19.05.2021,1.2172,97.65K
18.05.2021,1.222,90.30K
17.05.2021,1.2151,84.67K
14.05.2021,1.214,76.08K
13.05.2021,1.2078,98.85K
12.05.2021,1.2069,102.13K
11.05.2021,1.2146,118.04K
10.05.2021,1.2129,110.40K
07.05.2021,1.2163,89.19K
06.05.2021,1.2064,108.32K
