תאריך,שער,נפח,,,,
09.12.2022,1.1634,225.03K,,,,
08.12.2022,1.1586,262.73K,,,,
07.12.2022,1.161,280.18K,,,,
06.12.2022,1.1591,238.33K,,,,
05.12.2022,1.1615,254.76K,,,,
02.12.2022,1.1655,229.49K,,,,
01.12.2022,1.1629,279.93K,,,,
30.11.2022,1.1582,281.65K,,,,
29.11.2022,1.157,207.28K,,,,
28.11.2022,1.156,205.87K,,,,
25.11.2022,1.1629,181.63K,,,,
24.11.2022,1.1633,215.40K,,,,
23.11.2022,1.1591,204.38K,,,,
22.11.2022,1.153,217.17K,,,,
21.11.2022,1.1538,226.46K,,,,
18.11.2022,1.151,253.61K,,,,
17.11.2022,1.1445,253.96K,,,,
16.11.2022,1.1454,266.59K,,,,
15.11.2022,1.1456,277.50K,,,,
14.11.2022,1.1378,257.10K,,,,
11.11.2022,1.1428,285.20K,,,,
10.11.2022,1.1472,294.16K,,,,
09.11.2022,1.1338,273.27K,,,,
08.11.2022,1.1449,254.89K,,,,
07.11.2022,1.1485,246.15K,,,,
04.11.2022,1.1416,242.49K,,,,
03.11.2022,1.1445,216.15K,,,,
02.11.2022,1.1597,207.38K,,,,
01.11.2022,1.1628,202.13K,,,,
31.10.2022,1.16,209.06K,,,,
28.10.2022,1.1648,218.93K,,,,
27.10.2022,1.1603,282.52K,,,,
26.10.2022,1.1534,240.55K,,,,
25.10.2022,1.1504,219.01K,,,,
24.10.2022,1.1417,256.81K,,,,
21.10.2022,1.1458,244.40K,,,,
20.10.2022,1.1486,275.79K,,,,
19.10.2022,1.1472,252.82K,,,,
18.10.2022,1.1482,279.88K,,,,
17.10.2022,1.1542,248.23K,,,,
14.10.2022,1.1488,300.49K,,,,
13.10.2022,1.1585,257.14K,,,,
12.10.2022,1.143,272.78K,,,,
11.10.2022,1.1294,299.16K,,,,
10.10.2022,1.1392,279.26K,,,,
07.10.2022,1.1374,234.10K,,,,
06.10.2022,1.1394,264.94K,,,,
05.10.2022,1.1459,263.21K,,,,
04.10.2022,1.1488,248.31K,,,,
03.10.2022,1.1517,269.63K,,,,
30.09.2022,1.1384,263.09K,,,,
29.09.2022,1.1321,267.23K,,,,
28.09.2022,1.1182,293.07K,,,,
27.09.2022,1.1183,289.99K,,,,
26.09.2022,1.1117,290.39K,,,,
23.09.2022,1.1199,246.78K,,,,
22.09.2022,1.1442,272.48K,,,,
21.09.2022,1.145,219.81K,,,,
20.09.2022,1.141,196.01K,,,,
19.09.2022,1.1403,160.21K,,,,
16.09.2022,1.139,203.89K,,,,
15.09.2022,1.1459,189.93K,,,,
14.09.2022,1.1552,229.66K,,,,
13.09.2022,1.1523,205.85K,,,,
12.09.2022,1.1541,159.25K,,,,
09.09.2022,1.1537,212.44K,,,,
08.09.2022,1.1503,225.34K,,,,
07.09.2022,1.1523,220.48K,,,,
06.09.2022,1.1623,265.04K,,,,
05.09.2022,1.1593,187.06K,,,,
02.09.2022,1.1559,192.30K,,,,
01.09.2022,1.1606,228.28K,,,,
31.08.2022,1.1552,218.99K,,,,
30.08.2022,1.1636,232.60K,,,,
29.08.2022,1.1708,159.33K,,,,
26.08.2022,1.1788,158.40K,,,,
25.08.2022,1.1858,214.31K,,,,
24.08.2022,1.1837,178.86K,,,,
23.08.2022,1.1865,209.07K,,,,
22.08.2022,1.1831,222.74K,,,,
19.08.2022,1.1782,214.98K,,,,
18.08.2022,1.1821,216.14K,,,,
17.08.2022,1.1831,214.78K,,,,
16.08.2022,1.1886,186.03K,,,,
15.08.2022,1.186,165.75K,,,,
12.08.2022,1.182,222.87K,,,,
11.08.2022,1.1833,223.03K,,,,
10.08.2022,1.1868,253.67K,,,,
09.08.2022,1.1826,223.09K,,,,
08.08.2022,1.184,178.04K,,,,
05.08.2022,1.1852,213.07K,,,,
04.08.2022,1.1869,213.82K,,,,
03.08.2022,1.1945,212.28K,,,,
02.08.2022,1.197,253.78K,,,,
01.08.2022,1.1932,216.11K,,,,
29.07.2022,1.1902,212.04K,,,,
28.07.2022,1.1942,254.63K,,,,
27.07.2022,1.1906,192.35K,,,,
26.07.2022,1.1885,203.18K,,,,
25.07.2022,1.1778,204.52K,,,,
22.07.2022,1.1751,188.81K,,,,
