Date,Value,Volume
09.12.2022,4.1989,195.28K
08.12.2022,4.1893,254.47K
07.12.2022,4.1841,245.58K
06.12.2022,4.1586,226.04K
05.12.2022,4.1439,230.16K
02.12.2022,4.1721,196.73K
01.12.2022,4.1496,230.04K
30.11.2022,4.1082,242.07K
29.11.2022,4.1067,198.60K
28.11.2022,4.1162,168.22K
25.11.2022,4.1362,144.22K
24.11.2022,4.1368,199.83K
23.11.2022,4.1252,169.17K
22.11.2022,4.1179,185.80K
21.11.2022,4.1032,182.54K
18.11.2022,4.126,190.99K
17.11.2022,4.1111,188.68K
16.11.2022,4.0786,199.08K
15.11.2022,4.0429,222.32K
14.11.2022,4.0262,196.74K
11.11.2022,4.0349,229.72K
10.11.2022,4.0671,219.63K
09.11.2022,4.0268,219.99K
08.11.2022,4.0711,220.45K
07.11.2022,4.0687,214.34K
04.11.2022,4.0336,212.18K
03.11.2022,3.9922,203.53K
02.11.2022,4.0393,183.07K
01.11.2022,4.055,139.12K
31.10.2022,4.0387,202.00K
28.10.2022,4.0996,189.77K
27.10.2022,4.0697,249.63K
26.10.2022,4.0532,218.61K
25.10.2022,4.0301,202.07K
24.10.2022,4.0006,223.06K
21.10.2022,3.9878,188.18K
20.10.2022,3.9881,239.31K
19.10.2022,3.964,225.33K
18.10.2022,3.987,239.98K
17.10.2022,3.9935,164.79K
14.10.2022,3.9651,212.11K
13.10.2022,4.0161,194.67K
12.10.2022,3.9478,234.25K
11.10.2022,3.9198,200.69K
10.10.2022,3.933,188.44K
07.10.2022,3.9252,207.32K
06.10.2022,3.9336,231.33K
05.10.2022,3.993,188.67K
04.10.2022,4.0162,195.51K
03.10.2022,4.0027,241.05K
30.09.2022,3.9761,216.22K
29.09.2022,3.9532,245.27K
28.09.2022,3.8297,232.59K
27.09.2022,3.7605,191.06K
26.09.2022,3.7567,184.75K
23.09.2022,3.7981,207.70K
22.09.2022,3.9243,227.46K
21.09.2022,3.9038,201.01K
20.09.2022,3.9213,176.59K
19.09.2022,3.9273,167.56K
16.09.2022,3.9063,171.27K
15.09.2022,3.9434,179.54K
14.09.2022,3.945,216.12K
13.09.2022,3.9512,201.38K
12.09.2022,3.9293,159.74K
09.09.2022,3.9477,180.86K
08.09.2022,3.9514,210.76K
07.09.2022,3.9451,190.89K
06.09.2022,3.9321,246.32K
05.09.2022,3.9229,185.71K
02.09.2022,3.8852,141.34K
01.09.2022,3.9003,213.51K
31.08.2022,3.8682,218.71K
30.08.2022,3.8772,209.51K
29.08.2022,3.8817,169.74K
26.08.2022,3.8574,141.63K
25.08.2022,3.8626,196.42K
24.08.2022,3.8581,178.46K
23.08.2022,3.8583,189.40K
22.08.2022,3.8727,200.05K
19.08.2022,3.8658,191.82K
18.08.2022,3.8716,204.73K
17.08.2022,3.909,182.63K
16.08.2022,3.9348,208.03K
15.08.2022,3.942,162.81K
12.08.2022,3.9243,181.87K
11.08.2022,3.9621,198.82K
10.08.2022,3.9828,256.03K
09.08.2022,4.0014,210.37K
08.08.2022,3.9937,177.25K
05.08.2022,4.0432,178.13K
04.08.2022,4.049,192.79K
03.08.2022,4.0799,187.05K
02.08.2022,4.1015,219.78K
01.08.2022,4.1251,189.41K
29.07.2022,4.1325,180.96K
28.07.2022,4.1436,206.79K
27.07.2022,4.1481,190.63K
26.07.2022,4.1442,192.88K
25.07.2022,4.1405,186.75K
22.07.2022,4.1259,155.39K
21.07.2022,4.1268,177.23K
20.07.2022,4.1141,176.27K
19.07.2022,4.1187,163.62K
18.07.2022,4.1191,158.05K
15.07.2022,4.1014,176.26K
14.07.2022,4.1303,197.08K
13.07.2022,4.1079,201.53K
12.07.2022,4.1388,193.41K
11.07.2022,4.1408,180.19K
08.07.2022,4.158,185.58K
07.07.2022,4.1692,209.87K
06.07.2022,4.1636,222.03K
05.07.2022,4.1927,215.43K
04.07.2022,4.2366,156.57K
01.07.2022,4.2616,135.25K
30.06.2022,4.255,168.10K
29.06.2022,4.1908,207.29K
28.06.2022,4.1857,193.43K
27.06.2022,4.1893,179.73K
24.06.2022,4.179,155.51K
23.06.2022,4.2269,195.85K
22.06.2022,4.2151,173.01K
21.06.2022,4.235,169.64K
20.06.2022,4.2189,158.24K
17.06.2022,4.2243,200.78K
16.06.2022,4.2679,222.48K
15.06.2022,4.184,193.75K
14.06.2022,4.1551,184.92K
13.06.2022,4.1988,167.82K
10.06.2022,4.1783,154.44K
09.06.2022,4.197,159.52K
08.06.2022,4.1757,167.99K
07.06.2022,4.2034,166.90K
06.06.2022,4.1742,148.48K
03.06.2022,4.158,127.37K
02.06.2022,4.1813,158.26K
01.06.2022,4.1753,152.17K
31.05.2022,4.1858,167.88K
30.05.2022,4.2208,141.69K
27.05.2022,4.2231,140.37K
26.05.2022,4.2143,174.60K
25.05.2022,4.1961,194.95K
24.05.2022,4.1992,183.73K
23.05.2022,4.1994,164.70K
20.05.2022,4.1903,157.39K
19.05.2022,4.1877,183.97K
18.05.2022,4.1833,168.91K
17.05.2022,4.1795,180.59K
16.05.2022,4.1712,175.81K
13.05.2022,4.1698,165.75K
12.05.2022,4.1973,214.66K
11.05.2022,4.2142,187.55K
10.05.2022,4.2527,195.79K
09.05.2022,4.234,169.42K
06.05.2022,4.1926,181.30K
05.05.2022,4.2212,167.98K
04.05.2022,4.2244,148.88K
03.05.2022,4.1751,158.78K
02.05.2022,4.1939,143.32K
29.04.2022,4.2002,158.00K
28.04.2022,4.1344,153.90K
27.04.2022,4.1548,149.51K
26.04.2022,4.1485,171.24K
25.04.2022,4.1802,184.77K
22.04.2022,4.1974,145.68K
21.04.2022,4.2207,183.54K
20.04.2022,4.2037,172.94K
19.04.2022,4.2033,157.34K
18.04.2022,4.2057,128.03K
15.04.2022,4.2006,148.49K
14.04.2022,4.1994,167.92K
13.04.2022,4.199,159.63K
12.04.2022,4.1616,149.05K
11.04.2022,4.1816,139.97K
08.04.2022,4.1991,132.16K
07.04.2022,4.2164,142.79K
06.04.2022,4.2231,156.76K
05.04.2022,4.2049,137.10K
04.04.2022,4.2073,151.98K
01.04.2022,4.1987,203.96K
31.03.2022,4.1897,180.17K
30.03.2022,4.1697,164.35K
29.03.2022,4.1741,185.95K
28.03.2022,4.2137,176.80K
25.03.2022,4.2335,143.36K
24.03.2022,4.2378,145.05K
23.03.2022,4.2512,148.58K
22.03.2022,4.2608,165.90K
21.03.2022,4.2381,118.36K
18.03.2022,4.2685,124.48K
17.03.2022,4.2464,138.16K
16.03.2022,4.2708,178.30K
15.03.2022,4.2653,184.09K
14.03.2022,4.2639,154.56K
11.03.2022,4.238,164.80K
10.03.2022,4.2687,182.69K
09.03.2022,4.2903,187.41K
08.03.2022,4.3146,188.68K
07.03.2022,4.2996,193.19K
04.03.2022,4.3252,164.69K
03.03.2022,4.3316,172.88K
02.03.2022,4.3176,177.82K
01.03.2022,4.2926,169.14K
28.02.2022,4.3005,180.88K
25.02.2022,4.3223,152.00K
24.02.2022,4.3346,188.92K
23.02.2022,4.3773,157.19K
22.02.2022,4.3778,167.76K
21.02.2022,4.3705,131.60K
18.02.2022,4.3502,155.59K
17.02.2022,4.3672,187.72K
16.02.2022,4.3311,155.61K
15.02.2022,4.3484,160.93K
14.02.2022,4.4037,155.90K
11.02.2022,4.3987,159.44K
10.02.2022,4.3745,178.33K
09.02.2022,4.3389,161.27K
08.02.2022,4.3479,167.71K
07.02.2022,4.3207,156.37K
04.02.2022,4.3385,156.99K
03.02.2022,4.3343,157.95K
02.02.2022,4.3016,144.36K
01.02.2022,4.2754,134.29K
31.01.2022,4.2582,144.91K
28.01.2022,4.2855,149.69K
27.01.2022,4.2749,161.81K
26.01.2022,4.2795,155.61K
25.01.2022,4.2825,177.36K
24.01.2022,4.2594,177.81K
21.01.2022,4.2606,135.76K
20.01.2022,4.2624,148.20K
19.01.2022,4.2628,177.70K
18.01.2022,4.2556,194.14K
17.01.2022,4.2406,133.96K
14.01.2022,4.2464,141.07K
13.01.2022,4.2647,151.91K
12.01.2022,4.2587,131.33K
11.01.2022,4.234,118.15K
10.01.2022,4.2503,127.65K
07.01.2022,4.218,107.63K
06.01.2022,4.2025,153.27K
05.01.2022,4.2051,113.54K
04.01.2022,4.1726,120.71K
03.01.2022,4.1869,102.36K
31.12.2021,4.2003,92.01K
30.12.2021,4.1889,110.11K
29.12.2021,4.2057,117.90K
28.12.2021,4.1636,115.16K
27.12.2021,4.1827,118.00K
24.12.2021,4.216,135.93K
23.12.2021,4.2249,161.12K
22.12.2021,4.2202,135.19K
21.12.2021,4.1933,172.30K
20.12.2021,4.1838,150.49K
17.12.2021,4.1369,140.60K
16.12.2021,4.1277,151.38K
15.12.2021,4.1354,160.89K
14.12.2021,4.152,160.32K
13.12.2021,4.1119,145.96K
10.12.2021,4.1119,143.46K
09.12.2021,4.0975,184.42K
08.12.2021,4.0904,181.31K
07.12.2021,4.1416,198.69K
06.12.2021,4.1979,176.02K
03.12.2021,4.1815,141.63K
02.12.2021,4.206,157.79K
01.12.2021,4.1985,183.81K
30.11.2021,4.1867,224.80K
29.11.2021,4.203,163.78K
26.11.2021,4.2523,190.63K
25.11.2021,4.2086,190.87K
24.11.2021,4.1908,152.52K
23.11.2021,4.1873,189.19K
22.11.2021,4.1348,199.08K
19.11.2021,4.1631,147.13K
18.11.2021,4.1612,186.62K
17.11.2021,4.1458,171.75K
16.11.2021,4.152,160.23K
15.11.2021,4.1616,155.16K
12.11.2021,4.1661,124.85K
11.11.2021,4.1676,149.19K
10.11.2021,4.1755,166.38K
09.11.2021,4.2103,152.48K
08.11.2021,4.2181,133.65K
