Date,Value,volume
09.12.2022,0.2766,
08.12.2022,0.2758,
07.12.2022,0.2769,
06.12.2022,0.2782,
05.12.2022,0.2797,
02.12.2022,0.2787,
01.12.2022,0.2796,
30.11.2022,0.2816,
29.11.2022,0.2814,
28.11.2022,0.2803,
25.11.2022,0.2808,
24.11.2022,0.2806,
23.11.2022,0.2806,
22.11.2022,0.2795,
21.11.2022,0.2806,
18.11.2022,0.2786,
17.11.2022,0.2778,
16.11.2022,0.2802,
15.11.2022,0.2829,
14.11.2022,0.2824,
11.11.2022,0.2824,
10.11.2022,0.2813,
09.11.2022,0.2807,
08.11.2022,0.2806,
07.11.2022,0.2815,
04.11.2022,0.2826,
03.11.2022,0.2862,
02.11.2022,0.2865,
01.11.2022,0.2859,
31.10.2022,0.2866,
28.10.2022,0.2839,
27.10.2022,0.2846,
26.10.2022,0.2837,
25.10.2022,0.2849,
24.10.2022,0.2848,
21.10.2022,0.2868,
20.10.2022,0.2878,
19.10.2022,0.2888,
18.10.2022,0.2876,
17.10.2022,0.2884,
14.10.2022,0.289,
13.10.2022,0.2879,
12.10.2022,0.289,
11.10.2022,0.2878,
10.10.2022,0.2891,
07.10.2022,0.2895,
06.10.2022,0.2889,
05.10.2022,0.2865,
04.10.2022,0.2855,
03.10.2022,0.2872,
30.09.2022,0.2859,
29.09.2022,0.2858,
28.09.2022,0.2912,
27.09.2022,0.2971,
26.09.2022,0.2955,
23.09.2022,0.2937,
22.09.2022,0.291,
21.09.2022,0.293,
20.09.2022,0.2905,
19.09.2022,0.2899,
16.09.2022,0.291,
15.09.2022,0.2902,
14.09.2022,0.2923,
13.09.2022,0.2915,
12.09.2022,0.293,
09.09.2022,0.2918,
08.09.2022,0.2905,
07.09.2022,0.2916,
06.09.2022,0.2947,
05.09.2022,0.2954,
02.09.2022,0.297,
01.09.2022,0.2971,
31.08.2022,0.2983,
30.08.2022,0.2997,
29.08.2022,0.3009,
26.08.2022,0.305,
25.08.2022,0.3063,
24.08.2022,0.3063,
23.08.2022,0.3068,
22.08.2022,0.305,
19.08.2022,0.3039,
18.08.2022,0.3045,
17.08.2022,0.3021,
16.08.2022,0.3014,
15.08.2022,0.3003,
12.08.2022,0.3009,
11.08.2022,0.2983,
10.08.2022,0.2973,
09.08.2022,0.2949,
08.08.2022,0.2957,
05.08.2022,0.2922,
04.08.2022,0.293,
03.08.2022,0.2925,
02.08.2022,0.2916,
01.08.2022,0.2887,
29.07.2022,0.2872,
28.07.2022,0.2876,
27.07.2022,0.2864,
26.07.2022,0.2864,
25.07.2022,0.2842,
22.07.2022,0.2842,
21.07.2022,0.2835,
20.07.2022,0.2851,
19.07.2022,0.284,
18.07.2022,0.2856,
15.07.2022,0.2862,
14.07.2022,0.2852,
13.07.2022,0.2874,
12.07.2022,0.2856,
11.07.2022,0.2854,
08.07.2022,0.2833,
07.07.2022,0.2831,
06.07.2022,0.281,
05.07.2022,0.2773,
04.07.2022,0.2734,
01.07.2022,0.2715,
30.06.2022,0.2726,
29.06.2022,0.2767,
28.06.2022,0.2763,
27.06.2022,0.276,
24.06.2022,0.2775,
23.06.2022,0.2749,
22.06.2022,0.2748,
21.06.2022,0.2749,
20.06.2022,0.2758,
17.06.2022,0.275,
16.06.2022,0.2736,
15.06.2022,0.2778,
14.06.2022,0.2767,
13.06.2022,0.2767,
10.06.2022,0.28,
09.06.2022,0.2799,
08.06.2022,0.2798,
07.06.2022,0.2793,
06.06.2022,0.2801,
03.06.2022,0.2796,
02.06.2022,0.2795,
01.06.2022,0.2803,
31.05.2022,0.2797,
30.05.2022,0.2778,
27.05.2022,0.2781,
26.05.2022,0.278,
25.05.2022,0.2796,
24.05.2022,0.2773,
23.05.2022,0.2799,
20.05.2022,0.2811,
19.05.2022,0.2804,
18.05.2022,0.2816,
17.05.2022,0.2827,
16.05.2022,0.2827,
13.05.2022,0.2819,
12.05.2022,0.2796,
11.05.2022,0.2759,
10.05.2022,0.2748,
09.05.2022,0.2754,
06.05.2022,0.2781,
05.05.2022,0.2772,
04.05.2022,0.2808,
03.05.2022,0.2838,
02.05.2022,0.2829,
29.04.2022,0.2836,
28.04.2022,0.2864,
27.04.2022,0.2856,
26.04.2022,0.2846,
25.04.2022,0.284,
22.04.2022,0.2828,
21.04.2022,0.2839,
20.04.2022,0.2858,
19.04.2022,0.2864,
18.04.2022,0.2862,
15.04.2022,0.2868,
14.04.2022,0.2866,
13.04.2022,0.2864,
12.04.2022,0.2881,
11.04.2022,0.2856,
08.04.2022,0.2852,
07.04.2022,0.2845,
06.04.2022,0.2835,
05.04.2022,0.2846,
04.04.2022,0.2838,
01.04.2022,0.2822,
31.03.2022,0.283,
30.03.2022,0.2818,
29.03.2022,0.2823,
28.03.2022,0.2825,
25.03.2022,0.2828,
24.03.2022,0.2819,
23.03.2022,0.2816,
22.03.2022,0.2818,
21.03.2022,0.2815,
18.03.2022,0.2787,
17.03.2022,0.2784,
16.03.2022,0.2788,
15.03.2022,0.2787,
14.03.2022,0.2784,
11.03.2022,0.2815,
10.03.2022,0.2784,
09.03.2022,0.2767,
08.03.2022,0.278,
07.03.2022,0.2801,
04.03.2022,0.2791,
03.03.2022,0.2779,
02.03.2022,0.2789,
01.03.2022,0.2786,
28.02.2022,0.2774,
25.02.2022,0.2745,
24.02.2022,0.2751,
23.02.2022,0.2731,
22.02.2022,0.2735,
21.02.2022,0.2748,
18.02.2022,0.2755,
17.02.2022,0.2739,
16.02.2022,0.2754,
15.02.2022,0.2736,
14.02.2022,0.271,
11.02.2022,0.2711,
10.02.2022,0.2706,
09.02.2022,0.2727,
08.02.2022,0.2722,
07.02.2022,0.2735,
04.02.2022,0.2721,
03.02.2022,0.2739,
02.02.2022,0.2788,
01.02.2022,0.28,
31.01.2022,0.2805,
28.01.2022,0.2801,
27.01.2022,0.2806,
26.01.2022,0.2794,
25.01.2022,0.2785,
24.01.2022,0.2789,
21.01.2022,0.2799,
20.01.2022,0.2816,
19.01.2022,0.2808,
18.01.2022,0.2817,
17.01.2022,0.2814,
14.01.2022,0.2817,
13.01.2022,0.2801,
12.01.2022,0.2807,
11.01.2022,0.2831,
10.01.2022,0.2813,
07.01.2022,0.2829,
06.01.2022,0.2844,
05.01.2022,0.2845,
04.01.2022,0.2869,
03.01.2022,0.2843,
31.12.2021,0.2827,
30.12.2021,0.2841,
29.12.2021,0.2822,
28.12.2021,0.2848,
27.12.2021,0.2833,
24.12.2021,0.28,
23.12.2021,0.2798,
22.12.2021,0.2788,
21.12.2021,0.2796,
20.12.2021,0.2796,
17.12.2021,0.2844,
16.12.2021,0.2843,
15.12.2021,0.2837,
14.12.2021,0.2827,
13.12.2021,0.2843,
10.12.2021,0.2847,
09.12.2021,0.2853,
08.12.2021,0.2843,
07.12.2021,0.2832,
06.12.2021,0.2796,
03.12.2021,0.2793,
02.12.2021,0.2794,
01.12.2021,0.2792,
30.11.2021,0.2796,
29.11.2021,0.2802,
26.11.2021,0.2764,
25.11.2021,0.2821,
24.11.2021,0.2834,
23.11.2021,0.2832,
22.11.2021,0.2876,
19.11.2021,0.2859,
18.11.2021,0.2848,
17.11.2021,0.2869,
16.11.2021,0.2851,
15.11.2021,0.2832,
12.11.2021,0.2807,
11.11.2021,0.2798,
10.11.2021,0.2791,
09.11.2021,0.2773,
08.11.2021,0.277,
05.11.2021,0.2776,
04.11.2021,0.2781,
03.11.2021,0.276,
02.11.2021,0.275,
01.11.2021,0.2762,
29.10.2021,0.2732,
28.10.2021,0.2702,
27.10.2021,0.27,
26.10.2021,0.2694,
25.10.2021,0.2689,
22.10.2021,0.2674,
21.10.2021,0.268,
20.10.2021,0.267,
19.10.2021,0.2672,
18.10.2021,0.2674,
15.10.2021,0.2674,
14.10.2021,0.2675,
13.10.2021,0.2672,
12.10.2021,0.2681,
11.10.2021,0.2681,
08.10.2021,0.2672,
07.10.2021,0.268,
06.10.2021,0.267,
05.10.2021,0.2666,
04.10.2021,0.2666,
01.10.2021,0.2677,
30.09.2021,0.2674,
29.09.2021,0.2677,
28.09.2021,0.2664,
27.09.2021,0.267,
24.09.2021,0.2666,
23.09.2021,0.2662,
22.09.2021,0.267,
21.09.2021,0.2659,
20.09.2021,0.2651,
17.09.2021,0.2656,
16.09.2021,0.2643,
15.09.2021,0.2638,
14.09.2021,0.2637,
13.09.2021,0.2636,
10.09.2021,0.2642,
09.09.2021,0.2636,
08.09.2021,0.2638,
07.09.2021,0.2631,
06.09.2021,0.2627,
03.09.2021,0.2625,
02.09.2021,0.2625,
01.09.2021,0.2632,
31.08.2021,0.2641,
30.08.2021,0.2633,
27.08.2021,0.263,
26.08.2021,0.2635,
25.08.2021,0.2629,
24.08.2021,0.2642,
23.08.2021,0.264,
20.08.2021,0.2638,
19.08.2021,0.2635,
18.08.2021,0.2639,
17.08.2021,0.2637,
16.08.2021,0.2629,
13.08.2021,0.2635,
12.08.2021,0.2644,
11.08.2021,0.2635,
10.08.2021,0.2643,
09.08.2021,0.2643,
06.08.2021,0.2634,
05.08.2021,0.2626,
04.08.2021,0.2626,
03.08.2021,0.2625,
02.08.2021,0.2611,
30.07.2021,0.2607,
29.07.2021,0.2594,
28.07.2021,0.2592,
27.07.2021,0.2598,
26.07.2021,0.2601,
23.07.2021,0.2594,
22.07.2021,0.259,
21.07.2021,0.2586,
20.07.2021,0.2576,
19.07.2021,0.2567,
16.07.2021,0.2573,
15.07.2021,0.2582,
14.07.2021,0.2586,
13.07.2021,0.2582,
12.07.2021,0.2567,
09.07.2021,0.2565,
08.07.2021,0.2572,
07.07.2021,0.259,
06.07.2021,0.258,
05.07.2021,0.2582,
02.07.2021,0.2575,
01.07.2021,0.2581,
30.06.2021,0.2585,
29.06.2021,0.258,
28.06.2021,0.2572,
25.06.2021,0.2576,
24.06.2021,0.2582,
23.06.2021,0.2576,
22.06.2021,0.2567,
21.06.2021,0.2566,
18.06.2021,0.257,
17.06.2021,0.2568,
16.06.2021,0.2558,
15.06.2021,0.2544,
14.06.2021,0.254,
11.06.2021,0.2536,
10.06.2021,0.253,
09.06.2021,0.253,
08.06.2021,0.2531,
07.06.2021,0.2526,
04.06.2021,0.2527,
03.06.2021,0.253,
02.06.2021,0.2521,
01.06.2021,0.2524,
31.05.2021,0.2516,
28.05.2021,0.2521,
27.05.2021,0.2528,
26.05.2021,0.2521,
25.05.2021,0.2517,
24.05.2021,0.2518,
21.05.2021,0.252,
20.05.2021,0.2509,
19.05.2021,0.2513,
18.05.2021,0.2511,
17.05.2021,0.2508,
14.05.2021,0.2513,
13.05.2021,0.2515,
12.05.2021,0.2516,
11.05.2021,0.25,
10.05.2021,0.2527,
07.05.2021,0.2525,
06.05.2021,0.2541,
05.05.2021,0.2548,
04.05.2021,0.2549,
03.05.2021,0.2549,
30.04.2021,0.2561,
29.04.2021,0.2538,
28.04.2021,0.2536,
27.04.2021,0.255,
26.04.2021,0.2554,
23.04.2021,0.2537,
22.04.2021,0.2552,
21.04.2021,0.2541,
20.04.2021,0.2555,
19.04.2021,0.2547,
16.04.2021,0.2542,
15.04.2021,0.2546,
14.04.2021,0.2543,
13.04.2021,0.2541,
12.04.2021,0.2546,
09.04.2021,0.2549,
08.04.2021,0.2556,
07.04.2021,0.2556,
06.04.2021,0.2553,
05.04.2021,0.2555,
02.04.2021,0.255,
01.04.2021,0.2546,
31.03.2021,0.255,
30.03.2021,0.2556,
29.03.2021,0.2549,
26.03.2021,0.2544,
25.03.2021,0.2552,
24.03.2021,0.2554,
23.03.2021,0.2558,
22.03.2021,0.2538,
19.03.2021,0.2543,
18.03.2021,0.2549,
17.03.2021,0.2537,
16.03.2021,0.255,
15.03.2021,0.2531,
12.03.2021,0.2515,
11.03.2021,0.2522,
10.03.2021,0.2524,
09.03.2021,0.2526,
08.03.2021,0.2524,
