תאריך,שער,נפח,,,,
09.12.2022,0.2377,,,,,
08.12.2022,0.2379,,,,,
07.12.2022,0.2384,,,,,
06.12.2022,0.24,,,,,
05.12.2022,0.2407,,,,,
02.12.2022,0.239,,,,,
01.12.2022,0.2404,,,,,
30.11.2022,0.2431,,,,,
29.11.2022,0.2432,,,,,
28.11.2022,0.2424,,,,,
25.11.2022,0.2414,,,,,
24.11.2022,0.2411,,,,,
23.11.2022,0.242,,,,,
22.11.2022,0.2423,,,,,
21.11.2022,0.2431,,,,,
18.11.2022,0.2419,,,,,
17.11.2022,0.2427,,,,,
16.11.2022,0.2445,,,,,
15.11.2022,0.2469,,,,,
14.11.2022,0.2481,,,,,
11.11.2022,0.247,,,,,
10.11.2022,0.2451,,,,,
09.11.2022,0.2474,,,,,
08.11.2022,0.245,,,,,
07.11.2022,0.245,,,,,
04.11.2022,0.2474,,,,,
03.11.2022,0.25,,,,,
02.11.2022,0.247,,,,,
01.11.2022,0.2458,,,,,
31.10.2022,0.247,,,,,
28.10.2022,0.2436,,,,,
27.10.2022,0.2452,,,,,
26.10.2022,0.2459,,,,,
25.10.2022,0.2475,,,,,
24.10.2022,0.2494,,,,,
21.10.2022,0.2503,,,,,
20.10.2022,0.2504,,,,,
19.10.2022,0.2515,,,,,
18.10.2022,0.2504,,,,,
17.10.2022,0.2498,,,,,
14.10.2022,0.2515,,,,,
13.10.2022,0.2484,,,,,
12.10.2022,0.2528,,,,,
11.10.2022,0.2547,,,,,
10.10.2022,0.2537,,,,,
07.10.2022,0.2544,,,,,
06.10.2022,0.2533,,,,,
05.10.2022,0.2499,,,,,
04.10.2022,0.2484,,,,,
03.10.2022,0.2492,,,,,
30.09.2022,0.2511,,,,,
29.09.2022,0.2523,,,,,
28.09.2022,0.2604,,,,,
27.09.2022,0.2656,,,,,
26.09.2022,0.2657,,,,,
23.09.2022,0.2621,,,,,
22.09.2022,0.2543,,,,,
21.09.2022,0.2558,,,,,
20.09.2022,0.2545,,,,,
19.09.2022,0.2542,,,,,
16.09.2022,0.2554,,,,,
15.09.2022,0.2531,,,,,
14.09.2022,0.2529,,,,,
13.09.2022,0.2528,,,,,
12.09.2022,0.2538,,,,,
09.09.2022,0.2528,,,,,
08.09.2022,0.2525,,,,,
07.09.2022,0.253,,,,,
06.09.2022,0.2535,,,,,
05.09.2022,0.2547,,,,,
02.09.2022,0.2569,,,,,
01.09.2022,0.2559,,,,,
31.08.2022,0.2581,,,,,
30.08.2022,0.2575,,,,,
29.08.2022,0.2569,,,,,
26.08.2022,0.2586,,,,,
25.08.2022,0.2582,,,,,
24.08.2022,0.2587,,,,,
23.08.2022,0.2585,,,,,
22.08.2022,0.2577,,,,,
19.08.2022,0.2578,,,,,
18.08.2022,0.2575,,,,,
17.08.2022,0.2553,,,,,
16.08.2022,0.2535,,,,,
15.08.2022,0.2531,,,,,
12.08.2022,0.2545,,,,,
11.08.2022,0.252,,,,,
10.08.2022,0.2505,,,,,
09.08.2022,0.2493,,,,,
08.08.2022,0.2495,,,,,
05.08.2022,0.2465,,,,,
04.08.2022,0.2467,,,,,
03.08.2022,0.2448,,,,,
02.08.2022,0.2436,,,,,
01.08.2022,0.2419,,,,,
29.07.2022,0.2412,,,,,
28.07.2022,0.2408,,,,,
27.07.2022,0.2403,,,,,
26.07.2022,0.2409,,,,,
25.07.2022,0.2412,,,,,
22.07.2022,0.2418,,,,,
21.07.2022,0.2418,,,,,
20.07.2022,0.2425,,,,,
19.07.2022,0.2421,,,,,
18.07.2022,0.2423,,,,,
15.07.2022,0.2436,,,,,
14.07.2022,0.2416,,,,,
13.07.2022,0.2433,,,,,
12.07.2022,0.2412,,,,,
11.07.2022,0.241,,,,,
08.07.2022,0.2399,,,,,
07.07.2022,0.2393,,,,,
06.07.2022,0.24,,,,,
05.07.2022,0.2381,,,,,
04.07.2022,0.2354,,,,,
01.07.2022,0.2341,,,,,
30.06.2022,0.2347,,,,,
29.06.2022,0.2382,,,,,
28.06.2022,0.2385,,,,,
27.06.2022,0.2382,,,,,
24.06.2022,0.2388,,,,,
23.06.2022,0.236,,,,,
22.06.2022,0.2367,,,,,
21.06.2022,0.2357,,,,,
20.06.2022,0.2366,,,,,
17.06.2022,0.2362,,,,,
16.06.2022,0.2336,,,,,
15.06.2022,0.2382,,,,,
14.06.2022,0.2402,,,,,
13.06.2022,0.2374,,,,,
10.06.2022,0.2391,,,,,
09.06.2022,0.2378,,,,,
08.06.2022,0.2391,,,,,
07.06.2022,0.2374,,,,,
06.06.2022,0.2389,,,,,
03.06.2022,0.2399,,,,,
02.06.2022,0.2388,,,,,
01.06.2022,0.239,,,,,
31.05.2022,0.2383,,,,,
30.05.2022,0.2367,,,,,
27.05.2022,0.2364,,,,,
26.05.2022,0.2368,,,,,
25.05.2022,0.2377,,,,,
24.05.2022,0.2376,,,,,
23.05.2022,0.2377,,,,,
20.05.2022,0.2378,,,,,
19.05.2022,0.2382,,,,,
18.05.2022,0.2388,,,,,
17.05.2022,0.2388,,,,,
16.05.2022,0.2394,,,,,
13.05.2022,0.2394,,,,,
12.05.2022,0.2378,,,,,
11.05.2022,0.2368,,,,,
10.05.2022,0.2348,,,,,
09.05.2022,0.2358,,,,,
06.05.2022,0.2379,,,,,
05.05.2022,0.2364,,,,,
04.05.2022,0.2363,,,,,
03.05.2022,0.239,,,,,
02.05.2022,0.2379,,,,,
29.04.2022,0.2378,,,,,
28.04.2022,0.2414,,,,,
27.04.2022,0.2403,,,,,
26.04.2022,0.2407,,,,,
25.04.2022,0.2388,,,,,
22.04.2022,0.2378,,,,,
21.04.2022,0.2361,,,,,
20.04.2022,0.2374,,,,,
19.04.2022,0.2376,,,,,
18.04.2022,0.2371,,,,,
15.04.2022,0.2374,,,,,
14.04.2022,0.2375,,,,,
13.04.2022,0.2377,,,,,
12.04.2022,0.2399,,,,,
11.04.2022,0.2385,,,,,
08.04.2022,0.238,,,,,
07.04.2022,0.2367,,,,,
06.04.2022,0.2363,,,,,
05.04.2022,0.2374,,,,,
04.04.2022,0.2375,,,,,
01.04.2022,0.2379,,,,,
31.03.2022,0.2384,,,,,
30.03.2022,0.2394,,,,,
29.03.2022,0.2391,,,,,
28.03.2022,0.2371,,,,,
25.03.2022,0.2357,,,,,
24.03.2022,0.2351,,,,,
23.03.2022,0.2347,,,,,
22.03.2022,0.2343,,,,,
21.03.2022,0.2354,,,,,
18.03.2022,0.2336,,,,,
17.03.2022,0.2348,,,,,
16.03.2022,0.2338,,,,,
15.03.2022,0.2341,,,,,
14.03.2022,0.2342,,,,,
11.03.2022,0.2356,,,,,
10.03.2022,0.2337,,,,,
09.03.2022,0.2325,,,,,
08.03.2022,0.2312,,,,,
07.03.2022,0.232,,,,,
04.03.2022,0.2306,,,,,
03.03.2022,0.2304,,,,,
02.03.2022,0.2313,,,,,
01.03.2022,0.2326,,,,,
28.02.2022,0.232,,,,,
25.02.2022,0.2308,,,,,
24.02.2022,0.2302,,,,,
23.02.2022,0.228,,,,,
22.02.2022,0.228,,,,,
21.02.2022,0.2285,,,,,
18.02.2022,0.2295,,,,,
17.02.2022,0.2285,,,,,
16.02.2022,0.2306,,,,,
15.02.2022,0.2295,,,,,
14.02.2022,0.2265,,,,,
11.02.2022,0.2269,,,,,
10.02.2022,0.2281,,,,,
09.02.2022,0.2302,,,,,
08.02.2022,0.2295,,,,,
07.02.2022,0.2312,,,,,
04.02.2022,0.2302,,,,,
03.02.2022,0.2304,,,,,
02.02.2022,0.2321,,,,,
01.02.2022,0.2334,,,,,
31.01.2022,0.2343,,,,,
28.01.2022,0.2329,,,,,
27.01.2022,0.2336,,,,,
26.01.2022,0.2332,,,,,
25.01.2022,0.2331,,,,,
24.01.2022,0.2342,,,,,
21.01.2022,0.2342,,,,,
20.01.2022,0.2342,,,,,
19.01.2022,0.2341,,,,,
18.01.2022,0.2347,,,,,
17.01.2022,0.2352,,,,,
14.01.2022,0.2352,,,,,
13.01.2022,0.2341,,,,,
12.01.2022,0.2344,,,,,
11.01.2022,0.236,,,,,
10.01.2022,0.2346,,,,,
07.01.2022,0.2365,,,,,
06.01.2022,0.2374,,,,,
05.01.2022,0.2375,,,,,
04.01.2022,0.2393,,,,,
03.01.2022,0.2384,,,,,
31.12.2021,0.2376,,,,,
30.12.2021,0.2384,,,,,
