תאריך,שער,נפח,,,,
09.12.2022,0.2914,,,,,
08.12.2022,0.2911,,,,,
07.12.2022,0.291,,,,,
06.12.2022,0.2913,,,,,
05.12.2022,0.2935,,,,,
02.12.2022,0.2939,,,,,
01.12.2022,0.2943,,,,,
30.11.2022,0.2931,,,,,
29.11.2022,0.2907,,,,,
28.11.2022,0.2898,,,,,
25.11.2022,0.292,,,,,
24.11.2022,0.2921,,,,,
23.11.2022,0.2917,,,,,
22.11.2022,0.288,,,,,
21.11.2022,0.2874,,,,,
18.11.2022,0.2877,,,,,
17.11.2022,0.2879,,,,,
16.11.2022,0.2913,,,,,
15.11.2022,0.2929,,,,,
14.11.2022,0.2917,,,,,
11.11.2022,0.2924,,,,,
10.11.2022,0.2872,,,,,
09.11.2022,0.2811,,,,,
08.11.2022,0.2828,,,,,
07.11.2022,0.2822,,,,,
04.11.2022,0.2816,,,,,
03.11.2022,0.2792,,,,,
02.11.2022,0.2814,,,,,
01.11.2022,0.2823,,,,,
31.10.2022,0.2833,,,,,
28.10.2022,0.2829,,,,,
27.10.2022,0.2837,,,,,
26.10.2022,0.286,,,,,
25.10.2022,0.284,,,,,
24.10.2022,0.2813,,,,,
21.10.2022,0.2829,,,,,
20.10.2022,0.2816,,,,,
19.10.2022,0.2823,,,,,
18.10.2022,0.2835,,,,,
17.10.2022,0.2838,,,,,
14.10.2022,0.281,,,,,
13.10.2022,0.2815,,,,,
12.10.2022,0.2806,,,,,
11.10.2022,0.2794,,,,,
10.10.2022,0.2805,,,,,
07.10.2022,0.2821,,,,,
06.10.2022,0.2829,,,,,
05.10.2022,0.2832,,,,,
04.10.2022,0.2851,,,,,
03.10.2022,0.2823,,,,,
30.09.2022,0.2803,,,,,
29.09.2022,0.2806,,,,,
28.09.2022,0.2836,,,,,
27.09.2022,0.2851,,,,,
26.09.2022,0.284,,,,,
23.09.2022,0.2847,,,,,
22.09.2022,0.2862,,,,,
21.09.2022,0.2883,,,,,
20.09.2022,0.2897,,,,,
19.09.2022,0.2907,,,,,
16.09.2022,0.2916,,,,,
15.09.2022,0.2903,,,,,
14.09.2022,0.2918,,,,,
13.09.2022,0.2907,,,,,
12.09.2022,0.2966,,,,,
09.09.2022,0.293,,,,,
08.09.2022,0.2905,,,,,
07.09.2022,0.2917,,,,,
06.09.2022,0.292,,,,,
05.09.2022,0.2933,,,,,
02.09.2022,0.2957,,,,,
01.09.2022,0.2955,,,,,
31.08.2022,0.3001,,,,,
30.08.2022,0.3002,,,,,
29.08.2022,0.3009,,,,,
26.08.2022,0.3039,,,,,
25.08.2022,0.3056,,,,,
24.08.2022,0.3054,,,,,
23.08.2022,0.306,,,,,
