ds,y,volume
09.12.2022,0.9493,81.68K
08.12.2022,0.9471,89.81K
07.12.2022,0.9517,102.18K
06.12.2022,0.955,83.94K
05.12.2022,0.953,91.07K
02.12.2022,0.9486,82.22K
01.12.2022,0.95,108.31K
30.11.2022,0.9607,92.19K
29.11.2022,0.968,75.18K
28.11.2022,0.967,78.44K
25.11.2022,0.9616,70.18K
24.11.2022,0.9606,68.51K
23.11.2022,0.9617,74.47K
22.11.2022,0.9703,79.18K
21.11.2022,0.9761,82.17K
18.11.2022,0.9685,95.10K
17.11.2022,0.9649,98.79K
16.11.2022,0.9619,103.83K
15.11.2022,0.9661,104.61K
14.11.2022,0.9681,103.36K
11.11.2022,0.9656,114.00K
10.11.2022,0.9794,128.78K
09.11.2022,0.9984,117.09K
08.11.2022,0.9925,100.70K
07.11.2022,0.9977,94.50K
04.11.2022,1.0036,86.22K
03.11.2022,1.0251,76.01K
02.11.2022,1.0182,77.34K
01.11.2022,1.0127,71.01K
31.10.2022,1.0114,75.23K
28.10.2022,1.0033,76.68K
27.10.2022,1.0034,110.90K
26.10.2022,0.992,84.29K
25.10.2022,1.0032,74.00K
24.10.2022,1.0126,91.25K
21.10.2022,1.0138,92.87K
20.10.2022,1.0218,92.63K
19.10.2022,1.023,88.91K
18.10.2022,1.0145,98.98K
17.10.2022,1.0161,88.28K
14.10.2022,1.0285,108.60K
13.10.2022,1.0228,95.28K
12.10.2022,1.0301,93.22K
11.10.2022,1.0302,127.21K
10.10.2022,1.0306,97.21K
07.10.2022,1.0262,78.52K
06.10.2022,1.0211,89.26K
05.10.2022,1.0117,88.68K
04.10.2022,1.0013,86.11K
03.10.2022,1.0175,97.65K
30.09.2022,1.0201,94.06K
29.09.2022,1.0185,96.26K
28.09.2022,1.027,104.44K
27.09.2022,1.0421,104.22K
26.09.2022,1.0405,109.84K
23.09.2022,1.0316,90.98K
22.09.2022,1.0167,103.84K
21.09.2022,1.0164,87.44K
20.09.2022,1.0027,72.94K
19.09.2022,0.9975,63.17K
16.09.2022,0.9981,72.83K
15.09.2022,0.9996,69.08K
14.09.2022,1.0016,87.67K
13.09.2022,1.0028,77.65K
12.09.2022,0.9879,62.34K
09.09.2022,0.9957,76.40K
08.09.2022,1.0001,86.34K
07.09.2022,0.9996,82.61K
06.09.2022,1.0094,101.49K
05.09.2022,1.0069,67.11K
02.09.2022,1.0045,68.96K
01.09.2022,1.0053,85.85K
31.08.2022,0.9939,87.59K
30.08.2022,0.9984,90.21K
29.08.2022,1.0001,59.85K
26.08.2022,1.0035,60.92K
25.08.2022,1.0024,82.50K
24.08.2022,1.0031,67.56K
23.08.2022,1.0029,82.39K
22.08.2022,1.0056,87.97K
19.08.2022,0.9962,76.59K
18.08.2022,0.9909,78.31K
17.08.2022,0.982,92.06K
16.08.2022,0.9829,63.58K
15.08.2022,0.9839,64.99K
12.08.2022,0.9745,80.25K
11.08.2022,0.969,84.77K
10.08.2022,0.9708,88.50K
09.08.2022,0.979,80.55K
08.08.2022,0.9805,67.81K
05.08.2022,0.9818,82.58K
04.08.2022,0.9759,79.41K
03.08.2022,0.9836,79.91K
02.08.2022,0.9836,102.37K
