Date,Value,Volume
09.12.2022,0.8157,143.35K
08.12.2022,0.8172,172.92K
07.12.2022,0.8195,178.01K
06.12.2022,0.8237,154.38K
05.12.2022,0.8202,163.69K
02.12.2022,0.8133,147.27K
01.12.2022,0.8167,171.62K
30.11.2022,0.8293,189.46K
29.11.2022,0.8363,132.09K
28.11.2022,0.8363,127.43K
25.11.2022,0.8267,111.45K
24.11.2022,0.8255,146.88K
23.11.2022,0.8295,129.90K
22.11.2022,0.8413,137.99K
21.11.2022,0.8456,144.30K
18.11.2022,0.8409,158.53K
17.11.2022,0.8427,155.16K
16.11.2022,0.8395,162.76K
15.11.2022,0.843,172.89K
14.11.2022,0.8506,153.74K
11.11.2022,0.8447,171.21K
10.11.2022,0.8535,165.38K
09.11.2022,0.8802,156.18K
08.11.2022,0.8666,154.17K
07.11.2022,0.8683,151.66K
04.11.2022,0.8787,156.27K
03.11.2022,0.8953,140.15K
02.11.2022,0.8776,130.04K
01.11.2022,0.8705,131.12K
31.10.2022,0.8717,133.83K
28.10.2022,0.8609,142.25K
27.10.2022,0.8645,171.63K
26.10.2022,0.8598,156.26K
25.10.2022,0.8714,145.01K
24.10.2022,0.8866,165.56K
21.10.2022,0.8845,152.17K
20.10.2022,0.8893,183.15K
19.10.2022,0.891,163.91K
18.10.2022,0.8832,180.90K
17.10.2022,0.88,159.95K
14.10.2022,0.895,191.90K
13.10.2022,0.8826,161.87K
12.10.2022,0.901,179.56K
11.10.2022,0.9115,171.95K
10.10.2022,0.9043,182.04K
07.10.2022,0.9019,155.57K
06.10.2022,0.8956,175.69K
05.10.2022,0.8826,174.53K
04.10.2022,0.8713,162.20K
03.10.2022,0.8828,171.98K
30.09.2022,0.8957,169.04K
29.09.2022,0.8994,170.98K
28.09.2022,0.9181,188.63K
27.09.2022,0.9316,185.77K
26.09.2022,0.9355,180.55K
23.09.2022,0.9208,155.80K
22.09.2022,0.8884,168.64K
21.09.2022,0.8873,132.38K
20.09.2022,0.8785,123.07K
19.09.2022,0.8745,97.03K
16.09.2022,0.876,131.06K
15.09.2022,0.872,120.85K
14.09.2022,0.8667,141.98K
13.09.2022,0.8699,128.21K
12.09.2022,0.8557,96.91K
09.09.2022,0.8627,136.05K
08.09.2022,0.8691,139.02K
07.09.2022,0.8672,137.87K
06.09.2022,0.8681,163.56K
05.09.2022,0.8683,119.95K
02.09.2022,0.8687,123.34K
01.09.2022,0.866,142.43K
31.08.2022,0.8602,131.39K
30.08.2022,0.8579,142.39K
29.08.2022,0.8538,99.48K
26.08.2022,0.851,97.49K
25.08.2022,0.845,131.80K
24.08.2022,0.8472,111.29K
23.08.2022,0.845,126.68K
22.08.2022,0.8497,134.76K
19.08.2022,0.8452,138.39K
18.08.2022,0.8379,137.83K
17.08.2022,0.8299,122.72K
16.08.2022,0.8267,122.45K
15.08.2022,0.8293,100.76K
12.08.2022,0.8241,142.63K
11.08.2022,0.8186,138.26K
10.08.2022,0.8178,165.16K
09.08.2022,0.8275,142.53K
08.08.2022,0.8275,110.23K
05.08.2022,0.8282,130.49K
04.08.2022,0.822,134.41K
03.08.2022,0.8232,132.37K
02.08.2022,0.8214,151.41K
01.08.2022,0.8162,131.53K
29.07.2022,0.8218,130.21K
28.07.2022,0.8211,147.99K
27.07.2022,0.8224,116.19K
26.07.2022,0.8313,123.95K
25.07.2022,0.8302,127.09K
22.07.2022,0.8329,115.37K
21.07.2022,0.8336,139.13K
20.07.2022,0.8352,134.64K
19.07.2022,0.8335,121.65K
18.07.2022,0.8363,116.17K
15.07.2022,0.8435,130.06K
14.07.2022,0.8456,143.91K
13.07.2022,0.841,137.09K
12.07.2022,0.841,133.90K
11.07.2022,0.8408,123.85K
08.07.2022,0.8312,149.01K
07.07.2022,0.8316,149.14K
06.07.2022,0.8385,158.83K
05.07.2022,0.8361,147.84K
04.07.2022,0.826,113.56K
01.07.2022,0.8266,114.76K
30.06.2022,0.8211,128.65K
29.06.2022,0.8245,140.73K
28.06.2022,0.8207,150.50K
27.06.2022,0.8152,125.82K
24.06.2022,0.8153,114.14K
23.06.2022,0.8154,157.82K
22.06.2022,0.815,118.99K
21.06.2022,0.8144,110.09K
20.06.2022,0.8161,108.97K
17.06.2022,0.8179,162.22K
16.06.2022,0.8093,176.77K
15.06.2022,0.8209,141.57K
14.06.2022,0.8333,138.34K
13.06.2022,0.8243,115.70K
10.06.2022,0.8118,111.64K
09.06.2022,0.8003,103.46K
08.06.2022,0.7973,103.49K
07.06.2022,0.7942,109.12K
06.06.2022,0.7977,99.49K
03.06.2022,0.8005,70.95K
02.06.2022,0.7949,82.72K
01.06.2022,0.8004,99.79K
31.05.2022,0.7934,113.26K
30.05.2022,0.7903,84.78K
27.05.2022,0.7924,107.20K
26.05.2022,0.7938,119.10K
25.05.2022,0.7957,136.05K
24.05.2022,0.7979,123.59K
23.05.2022,0.7942,107.58K
20.05.2022,0.8006,119.18K
19.05.2022,0.8023,136.46K
18.05.2022,0.8102,122.68K
17.05.2022,0.8004,126.58K
16.05.2022,0.8116,119.22K
13.05.2022,0.8153,121.39K
12.05.2022,0.8195,155.65K
11.05.2022,0.8161,131.10K
10.05.2022,0.8113,136.81K
09.05.2022,0.8107,105.27K
06.05.2022,0.8103,136.80K
05.05.2022,0.8085,133.72K
04.05.2022,0.7921,107.59K
03.05.2022,0.7999,102.01K
02.05.2022,0.8003,73.31K
29.04.2022,0.7952,122.65K
28.04.2022,0.8026,107.58K
27.04.2022,0.7967,103.43K
26.04.2022,0.795,121.11K
25.04.2022,0.7847,131.23K
22.04.2022,0.7788,113.14K
21.04.2022,0.7675,142.37K
20.04.2022,0.7651,120.69K
19.04.2022,0.7691,102.18K
18.04.2022,0.7683,74.66K
15.04.2022,0.7656,129.16K
14.04.2022,0.7652,114.53K
13.04.2022,0.7623,113.52K
12.04.2022,0.769,94.86K
11.04.2022,0.7675,80.13K
08.04.2022,0.7672,87.63K
07.04.2022,0.7648,86.55K
06.04.2022,0.765,98.26K
05.04.2022,0.7648,83.85K
04.04.2022,0.7624,96.64K
01.04.2022,0.7624,143.63K
31.03.2022,0.7612,100.51K
30.03.2022,0.7613,105.37K
29.03.2022,0.7637,119.76K
28.03.2022,0.7641,94.21K
25.03.2022,0.7586,94.45K
24.03.2022,0.7581,91.10K
23.03.2022,0.7572,93.65K
22.03.2022,0.7538,106.87K
21.03.2022,0.7591,81.58K
18.03.2022,0.7587,89.04K
17.03.2022,0.7605,115.76K
16.03.2022,0.7602,123.62K
15.03.2022,0.7668,123.63K
14.03.2022,0.769,98.68K
11.03.2022,0.7669,129.48K
10.03.2022,0.7641,126.60K
09.03.2022,0.7586,131.40K
08.03.2022,0.763,135.84K
07.03.2022,0.763,138.03K
04.03.2022,0.7559,126.49K
03.03.2022,0.7488,116.59K
02.03.2022,0.7457,107.57K
01.03.2022,0.7503,122.85K
28.02.2022,0.745,119.07K
25.02.2022,0.7458,107.71K
24.02.2022,0.7474,145.03K
23.02.2022,0.7382,97.69K
22.02.2022,0.7358,108.83K
21.02.2022,0.7352,77.46K
18.02.2022,0.7356,101.11K
17.02.2022,0.7341,113.06K
16.02.2022,0.7359,103.84K
15.02.2022,0.7385,97.50K
14.02.2022,0.7391,101.68K
11.02.2022,0.7372,116.81K
10.02.2022,0.7376,106.85K
09.02.2022,0.7388,86.54K
08.02.2022,0.7383,111.51K
07.02.2022,0.7387,103.19K
04.02.2022,0.739,111.26K
03.02.2022,0.7353,100.83K
02.02.2022,0.7363,75.24K
01.02.2022,0.7395,80.32K
31.01.2022,0.7434,82.36K
28.01.2022,0.7459,97.41K
27.01.2022,0.7469,99.44K
26.01.2022,0.7427,95.33K
25.01.2022,0.7403,118.59K
24.01.2022,0.7413,116.44K
21.01.2022,0.7376,91.67K
20.01.2022,0.7351,96.41K
19.01.2022,0.7348,117.67K
