תאריך,שער,נפח,,,,
09.12.2022,3.4263,51.93K,,,,
08.12.2022,3.4246,81.55K,,,,
07.12.2022,3.4299,67.55K,,,,
06.12.2022,3.4264,71.66K,,,,
05.12.2022,3.4,66.47K,,,,
02.12.2022,3.3955,49.45K,,,,
01.12.2022,3.3899,58.42K,,,,
30.11.2022,3.4076,52.61K,,,,
29.11.2022,3.4357,66.50K,,,,
28.11.2022,3.4434,40.79K,,,,
25.11.2022,3.4203,32.77K,,,,
24.11.2022,3.416,52.94K,,,,
23.11.2022,3.4228,39.27K,,,,
22.11.2022,3.4654,47.81K,,,,
21.11.2022,3.4711,38.25K,,,,
18.11.2022,3.4719,32.46K,,,,
17.11.2022,3.4658,33.52K,,,,
16.11.2022,3.4251,36.32K,,,,
15.11.2022,3.4094,49.43K,,,,
14.11.2022,3.426,43.00K,,,,
11.11.2022,3.4093,58.51K,,,,
10.11.2022,3.4723,54.25K,,,,
09.11.2022,3.546,63.81K,,,,
08.11.2022,3.529,66.27K,,,,
07.11.2022,3.5346,62.69K,,,,
04.11.2022,3.546,55.91K,,,,
03.11.2022,3.5756,63.38K,,,,
02.11.2022,3.5467,53.03K,,,,
01.11.2022,3.5313,7.99K,,,,
31.10.2022,3.5214,68.17K,,,,
28.10.2022,3.5311,47.53K,,,,
27.10.2022,3.5193,78.00K,,,,
26.10.2022,3.486,62.35K,,,,
25.10.2022,3.5145,57.06K,,,,
24.10.2022,3.5482,57.50K,,,,
21.10.2022,3.5284,36.01K,,,,
20.10.2022,3.5478,56.16K,,,,
19.10.2022,3.5349,61.42K,,,,
18.10.2022,3.5227,59.08K,,,,
17.10.2022,3.5154,4.85K,,,,
14.10.2022,3.5498,20.21K,,,,
13.10.2022,3.5455,32.80K,,,,
12.10.2022,3.5579,54.69K,,,,
11.10.2022,3.5755,28.74K,,,,
10.10.2022,3.558,6.40K,,,,
07.10.2022,3.5413,51.75K,,,,
06.10.2022,3.5285,55.64K,,,,
05.10.2022,3.5255,14.14K,,,,
04.10.2022,3.5006,33.31K,,,,
03.10.2022,3.5363,69.07K,,,,
30.09.2022,3.5628,47.18K,,,,
29.09.2022,3.5566,74.29K,,,,
28.09.2022,3.5174,43.96K,,,,
27.09.2022,3.5043,5.29K,,,,
26.09.2022,3.5159,4.20K,,,,
23.09.2022,3.4986,51.90K,,,,
22.09.2022,3.487,58.82K,,,,
21.09.2022,3.4645,68.63K,,,,
20.09.2022,3.4461,53.53K,,,,
19.09.2022,3.4382,70.54K,,,,
16.09.2022,3.4232,40.22K,,,,
15.09.2022,3.4356,58.69K,,,,
14.09.2022,3.4203,74.14K,,,,
13.09.2022,3.4385,73.17K,,,,
12.09.2022,3.3641,62.84K,,,,
09.09.2022,3.407,44.81K,,,,
08.09.2022,3.4354,71.75K,,,,
07.09.2022,3.4222,53.01K,,,,
06.09.2022,3.4148,82.76K,,,,
05.09.2022,3.4074,65.75K,,,,
02.09.2022,3.3764,18.00K,,,,
01.09.2022,3.3786,71.08K,,,,
31.08.2022,3.3283,87.32K,,,,
30.08.2022,3.3266,67.12K,,,,
29.08.2022,3.3157,70.26K,,,,
26.08.2022,3.2837,44.14K,,,,
25.08.2022,3.265,64.61K,,,,
24.08.2022,3.2696,67.17K,,,,
23.08.2022,3.2612,62.72K,,,,
22.08.2022,3.2917,65.29K,,,,
19.08.2022,3.2686,53.43K,,,,
18.08.2022,3.2453,66.90K,,,,
17.08.2022,3.2448,59.91K,,,,
16.08.2022,3.2538,85.58K,,,,
15.08.2022,3.2703,62.05K,,,,
12.08.2022,3.2352,39.25K,,,,
11.08.2022,3.2444,60.56K,,,,
10.08.2022,3.2579,90.87K,,,,
09.08.2022,3.3124,67.84K,,,,
08.08.2022,3.3071,67.01K,,,,
05.08.2022,3.3495,47.64K,,,,
04.08.2022,3.3292,58.38K,,,,
03.08.2022,3.3596,54.68K,,,,
02.08.2022,3.3702,68.38K,,,,
01.08.2022,3.368,57.88K,,,,
29.07.2022,3.3968,50.75K,,,,
28.07.2022,3.4025,58.79K,,,,
27.07.2022,3.4138,74.44K,,,,
26.07.2022,3.4463,68.93K,,,,
25.07.2022,3.4384,59.66K,,,,
22.07.2022,3.4377,40.03K,,,,
21.07.2022,3.441,38.10K,,,,
20.07.2022,3.4373,41.63K,,,,
19.07.2022,3.4345,41.97K,,,,
18.07.2022,3.4475,41.88K,,,,
15.07.2022,3.4573,46.20K,,,,
14.07.2022,3.4937,53.18K,,,,
13.07.2022,3.4552,64.43K,,,,
12.07.2022,3.4827,59.51K,,,,
11.07.2022,3.4829,56.34K,,,,
08.07.2022,3.4572,36.57K,,,,
07.07.2022,3.4683,60.74K,,,,
06.07.2022,3.4924,63.20K,,,,
05.07.2022,3.5065,67.58K,,,,
04.07.2022,3.4999,43.01K,,,,
01.07.2022,3.5237,20.49K,,,,
30.06.2022,3.4949,39.44K,,,,
29.06.2022,3.4563,66.57K,,,,
28.06.2022,3.436,42.93K,,,,
27.06.2022,3.4159,53.91K,,,,
24.06.2022,3.4081,41.38K,,,,
23.06.2022,3.4477,38.04K,,,,
22.06.2022,3.4364,54.03K,,,,
