ds,yhat
01/01/2023,0.856291284
02/01/2023,0.854542887
03/01/2023,0.853196958
04/01/2023,0.852808029
05/01/2023,0.851758035
06/01/2023,0.852574487
07/01/2023,0.851706068
08/01/2023,0.853313647
09/01/2023,0.851623971
10/01/2023,0.850356755
11/01/2023,0.850064056
12/01/2023,0.849125203
13/01/2023,0.85006503
14/01/2023,0.849329523
15/01/2023,0.851076869
16/01/2023,0.849531201
17/01/2023,0.848409715
18/01/2023,0.848262078
19/01/2023,0.847465383
20/01/2023,0.848542399
21/01/2023,0.847937236
22/01/2023,0.84980641
23/01/2023,0.848372588
24/01/2023,0.84735172
25/01/2023,0.847292445
26/01/2023,0.846571055
27/01/2023,0.84770974
28/01/2023,0.847152265
29/01/2023,0.849055022
30/01/2023,0.847640795
31/01/2023,0.84662588
01/02/2023,0.846559497
02/02/2023,0.845818755
03/02/2023,0.846926903
04/02/2023,0.846328993
05/02/2023,0.848182944
06/02/2023,0.846713286
07/02/2023,0.845638279
08/02/2023,0.845509311
09/02/2023,0.844705836
10/02/2023,0.845753605
11/02/2023,0.845100301
12/02/2023,0.846906559
13/02/2023,0.845399671
14/02/2023,0.844300656
15/02/2023,0.844163601
16/02/2023,0.843370545
17/02/2023,0.844449642
18/02/2023,0.843850733
19/02/2023,0.845736303
20/02/2023,0.844335119
21/02/2023,0.843369238
22/02/2023,0.843393289
23/02/2023,0.84278931
24/02/2023,0.844084865
25/02/2023,0.843728585
26/02/2023,0.845881101
27/02/2023,0.844768681
28/02/2023,0.844110238
01/03/2023,0.844456644
02/03/2023,0.844185595
03/03/2023,0.845819788
04/03/2023,0.845802536
05/03/2023,0.848288782
06/03/2023,0.847498833
07/03/2023,0.847145487
08/03/2023,0.847773461
09/03/2023,0.847754387
10/03/2023,0.849605129
11/03/2023,0.849763521
12/03/2023,0.852379528
13/03/2023,0.851669102
14/03/2023,0.85134143
15/03/2023,0.851938476
16/03/2023,0.851830067
17/03/2023,0.853532294
18/03/2023,0.853483299
19/03/2023,0.85583448
20/03/2023,0.854804351
21/03/2023,0.854105785
22/03/2023,0.854285506
23/03/2023,0.853719124
24/03/2023,0.854929434
25/03/2023,0.854362102
26/03/2023,0.856176726
27/03/2023,0.854600555
28/03/2023,0.853355556
29/03/2023,0.852997731
30/03/2023,0.851911962
31/03/2023,0.852630119
01/04/2023,0.851606559
02/04/2023,0.853008998
03/04/2023,0.851072054
04/04/2023,0.849524156
05/04/2023,0.848926714
06/04/2023,0.847668845
07/04/2023,0.84828538
08/04/2023,0.847232298
09/04/2023,0.848677553
10/04/2023,0.846854614
11/04/2023,0.845489386
12/04/2023,0.845139443
13/04/2023,0.844188826
14/04/2023,0.84516617
15/04/2023,0.844520268
16/04/2023,0.846411058
17/04/2023,0.845063339
18/04/2023,0.84419389
19/04/2023,0.844350892
20/04/2023,0.843908949
21/04/2023,0.84538741
22/04/2023,0.845226138
23/04/2023,0.847576693
24/04/2023,0.84665622
25/04/2023,0.846174732
26/04/2023,0.846674668
27/04/2023,0.846526021
28/04/2023,0.848244749
29/04/2023,0.848268589
30/04/2023,0.850748268
01/05/2023,0.849901379
02/05/2023,0.849439616
03/05/2023,0.849908274
04/05/2023,0.849681269
05/05/2023,0.851279426
06/05/2023,0.851146157
07/05/2023,0.853438501
