ds,yhat
01/01/2023,3.352209657
02/01/2023,3.354851755
03/01/2023,3.341202058
04/01/2023,3.350971659
05/01/2023,3.339142034
06/01/2023,3.348667791
07/01/2023,3.339418528
08/01/2023,3.346745732
09/01/2023,3.352303364
10/01/2023,3.341415407
11/01/2023,3.353740071
12/01/2023,3.344210883
13/01/2023,3.355740488
14/01/2023,3.348163397
15/01/2023,3.356803612
16/01/2023,3.36329575
17/01/2023,3.352952938
18/01/2023,3.365431149
19/01/2023,3.355670233
20/01/2023,3.36659744
21/01/2023,3.358069715
22/01/2023,3.365440675
23/01/2023,3.370380927
24/01/2023,3.358245022
25/01/2023,3.368734732
26/01/2023,3.35683893
27/01/2023,3.365535918
28/01/2023,3.354734479
29/01/2023,3.359839638
30/01/2023,3.362571789
31/01/2023,3.348332517
01/02/2023,3.356866847
02/02/2023,3.343202204
03/02/2023,3.350349957
04/02/2023,3.338245853
05/02/2023,3.342315309
06/02/2023,3.344292262
07/02/2023,3.329584884
08/02/2023,3.337937904
09/02/2023,3.324371813
10/02/2023,3.331884816
11/02/2023,3.320393815
12/02/2023,3.325300384
13/02/2023,3.328310411
14/02/2023,3.314800681
15/02/2023,3.324482132
16/02/2023,3.31234002
17/02/2023,3.32133684
18/02/2023,3.31135425
19/02/2023,3.317759955
20/02/2023,3.322228163
21/02/2023,3.310106916
22/02/2023,3.321081968
23/02/2023,3.310117458
24/02/2023,3.320159196
25/02/2023,3.311076824
26/02/2023,3.318230778
27/02/2023,3.323292695
28/02/2023,3.311612551
01/03/2023,3.322882222
02/03/2023,3.312075729
03/03/2023,3.322151999
04/03/2023,3.312996417
05/03/2023,3.319987133
06/03/2023,3.324814765
07/03/2023,3.312848832
08/03/2023,3.323800607
09/03/2023,3.312662696
10/03/2023,3.322411174
11/03/2023,3.312946588
12/03/2023,3.319659795
13/03/2023,3.324251303
14/03/2023,3.312097434
15/03/2023,3.322913041
16/03/2023,3.311691046
17/03/2023,3.321404673
18/03/2023,3.311948641
19/03/2023,3.318705302
20/03/2023,3.323364373
21/03/2023,3.311289572
22/03/2023,3.322181856
23/03/2023,3.311019541
24/03/2023,3.320761121
25/03/2023,3.311287072
26/03/2023,3.317966567
27/03/2023,3.322477759
28/03/2023,3.310174911
29/03/2023,3.320752064
30/03/2023,3.309183494
31/03/2023,3.318426783
01/04/2023,3.308364763
02/04/2023,3.314372269
03/04/2023,3.318136348
04/04/2023,3.305023201
05/04/2023,3.314741574
06/04/2023,3.302282826
07/04/2023,3.310623543
08/04/2023,3.299666945
09/04/2023,3.304809055
10/04/2023,3.307758287
11/04/2023,3.293901754
12/04/2023,3.302968018
13/04/2023,3.289966557
14/04/2023,3.297889802
15/04/2023,3.286654043
16/04/2023,3.291665156
17/04/2023,3.294637858
18/04/2023,3.280961759
19/04/2023,3.290363989
20/04/2023,3.277848638
21/04/2023,3.286398886
22/04/2023,3.275918117
23/04/2023,3.281795967
24/04/2023,3.285727978
25/04/2023,3.273082171
26/04/2023,3.28356223
27/04/2023,3.272147585
28/04/2023,3.281796212
29/04/2023,3.272386433
30/04/2023,3.279283657
01/05/2023,3.284160702
02/05/2023,3.272364997
03/05/2023,3.28358234
04/05/2023,3.272777466
05/05/2023,3.282897263
06/05/2023,3.273812868
07/05/2023,3.280886598
08/05/2023,3.285792355
09/05/2023,3.273882772
10/05/2023,3.284852815
11/05/2023,3.273680072
12/05/2023,3.283327586
13/05/2023,3.273685471
14/05/2023,3.280137286
15/05/2023,3.284379813
16/05/2023,3.271789534
17/05/2023,3.282085529
18/05/2023,3.270269065
19/05/2023,3.279325726
20/05/2023,3.269166376
21/05/2023,3.275192921
22/05/2023,3.279117552
23/05/2023,3.266328766
24/05/2023,3.276553916
25/05/2023,3.264798555
26/05/2023,3.274048437
27/05/2023,3.26421048
28/05/2023,3.270678642
29/05/2023,3.275153389
30/05/2023,3.263008075
31/05/2023,3.273951922
01/06/2023,3.262969908
02/06/2023,3.273025372
03/06/2023,3.264001638
04/06/2023,3.271268593
05/06/2023,3.27650287
06/06/2023,3.265054934
07/06/2023,3.276612754
08/06/2023,3.26614233
09/06/2023,3.276590871
10/06/2023,3.267828921
11/06/2023,3.275217333
12/06/2023,3.280427748
13/06/2023,3.268809861
14/06/2023,3.280055146
15/06/2023,3.269137317
16/06/2023,3.279015321
17/06/2023,3.269575151
18/06/2023,3.27619641
19/06/2023,3.28057228
20/06/2023,3.268076187
21/06/2023,3.278424871
22/06/2023,3.266618129
23/06/2023,3.275641082
24/06/2023,3.265405231
25/06/2023,3.2713143
26/06/2023,3.275083499
27/06/2023,3.262105551
28/06/2023,3.272113188
29/06/2023,3.260118416
30/06/2023,3.269114389
01/07/2023,3.259016212
02/07/2023,3.265226623
03/07/2023,3.269455241
04/07/2023,3.257084691
05/07/2023,3.267833332
06/07/2023,3.25669486
07/07/2023,3.266640641
08/07/2023,3.257561056
09/07/2023,3.264831817
10/07/2023,3.270133912
11/07/2023,3.258820464
12/07/2023,3.270580232
13/07/2023,3.260377982
14/07/2023,3.27115758
15/07/2023,3.262784055
16/07/2023,3.270610586
17/07/2023,3.276299037
18/07/2023,3.265187331
19/07/2023,3.276953352
20/07/2023,3.266555614
21/07/2023,3.276936531
22/07/2023,3.267964538
23/07/2023,3.275001008
24/07/2023,3.279720599
25/07/2023,3.267478326
26/07/2023,3.277973048
27/07/2023,3.26618764
28/07/2023,3.275091671
29/07/2023,3.264582878
30/07/2023,3.270053376
31/07/2023,3.273209285
01/08/2023,3.259437054
02/08/2023,3.26846622
03/08/2023,3.255308872
04/08/2023,3.262961668
05/08/2023,3.251346705
06/08/2023,3.255877204
07/08/2023,3.258276694
08/08/2023,3.243944986
09/08/2023,3.252620696
10/08/2023,3.239320562
11/08/2023,3.247041438
12/08/2023,3.235701237
13/08/2023,3.240704793
14/08/2023,3.243763318
15/08/2023,3.230260733
16/08/2023,3.239916621
17/08/2023,3.227726039
18/08/2023,3.23666205
19/08/2023,3.226617238
20/08/2023,3.232970161
21/08/2023,3.237405398
22/08/2023,3.225280463
23/08/2023,3.236289302
24/08/2023,3.22540263
25/08/2023,3.235570915
26/08/2023,3.226666308
