ds,yhat
01/01/2023,0.990986377
02/01/2023,0.987729864
03/01/2023,0.984506896
04/01/2023,0.988255676
05/01/2023,0.984134132
06/01/2023,0.985132722
07/01/2023,0.98406045
08/01/2023,0.988855023
09/01/2023,0.985939499
10/01/2023,0.983029008
11/01/2023,0.987053744
12/01/2023,0.983164406
13/01/2023,0.984345192
14/01/2023,0.983399976
15/01/2023,0.988262601
16/01/2023,0.985353633
17/01/2023,0.982387151
18/01/2023,0.986293778
19/01/2023,0.982226113
20/01/2023,0.983171694
21/01/2023,0.981939095
22/01/2023,0.986468108
23/01/2023,0.983186357
24/01/2023,0.97981592
25/01/2023,0.983296156
26/01/2023,0.978788932
27/01/2023,0.979291352
28/01/2023,0.977621623
29/01/2023,0.981728995
30/01/2023,0.978050146
31/01/2023,0.974315575
01/02/2023,0.977472231
02/02/2023,0.97268855
03/02/2023,0.972967026
04/02/2023,0.971129952
05/02/2023,0.975129268
06/02/2023,0.971402881
07/02/2023,0.967681053
08/02/2023,0.970909036
09/02/2023,0.966252173
10/02/2023,0.966708567
11/02/2023,0.965094937
12/02/2023,0.969356633
13/02/2023,0.96592414
14/02/2023,0.962519662
15/02/2023,0.966079982
16/02/2023,0.961761793
17/02/2023,0.962554594
18/02/2023,0.961266779
19/02/2023,0.965835871
20/02/2023,0.962685226
21/02/2023,0.959530805
22/02/2023,0.963304195
23/02/2023,0.959158059
24/02/2023,0.960079132
25/02/2023,0.958874374
26/02/2023,0.963481215
27/02/2023,0.960324253
28/02/2023,0.95712197
01/03/2023,0.960809661
02/03/2023,0.95654477
03/03/2023,0.957319731
04/03/2023,0.955947945
05/03/2023,0.960373834
06/03/2023,0.957029324
07/03/2023,0.953640344
08/03/2023,0.957149536
09/03/2023,0.952721368
10/03/2023,0.953354775
11/03/2023,0.951868937
12/03/2023,0.956213166
13/03/2023,0.952823243
14/03/2023,0.949427801
15/03/2023,0.952970955
16/03/2023,0.948617367
17/03/2023,0.949364876
18/03/2023,0.948030304
19/03/2023,0.952559407
20/03/2023,0.949383308
21/03/2023,0.946225009
22/03/2023,0.95002218
23/03/2023,0.945932403
24/03/2023,0.946946001
25/03/2023,0.945872059
26/03/2023,0.950648589
27/03/2023,0.947699191
28/03/2023,0.944739773
29/03/2023,0.948701547
30/03/2023,0.944736458
31/03/2023,0.945830179
01/04/2023,0.944788271
02/04/2023,0.949546452
03/04/2023,0.946527331
04/04/2023,0.943447173
05/04/2023,0.947238884
06/04/2023,0.943057419
07/04/2023,0.943892691
08/04/2023,0.942555635
09/04/2023,0.946988341
10/04/2023,0.943620619
11/04/2023,0.940176579
12/04/2023,0.94359742
13/04/2023,0.93904661
14/04/2023,0.939522588
15/04/2023,0.937844591
16/04/2023,0.941962583
17/04/2023,0.938313612
18/04/2023,0.934628207
