ds,yhat
01/01/2023,€ 1.167385
02/01/2023,€ 1.169628
03/01/2023,€ 1.171323
04/01/2023,€ 1.171875
05/01/2023,€ 1.173213
06/01/2023,€ 1.172118
07/01/2023,€ 1.173196
08/01/2023,€ 1.171223
09/01/2023,€ 1.173401
10/01/2023,€ 1.175004
11/01/2023,€ 1.175443
12/01/2023,€ 1.176648
13/01/2023,€ 1.175404
14/01/2023,€ 1.176321
15/01/2023,€ 1.174178
16/01/2023,€ 1.176180
17/01/2023,€ 1.177605
18/01/2023,€ 1.177866
19/01/2023,€ 1.178896
20/01/2023,€ 1.177483
21/01/2023,€ 1.178239
22/01/2023,€ 1.175946
23/01/2023,€ 1.177809
24/01/2023,€ 1.179110
25/01/2023,€ 1.179262
26/01/2023,€ 1.180199
27/01/2023,€ 1.178711
28/01/2023,€ 1.179409
29/01/2023,€ 1.177075
30/01/2023,€ 1.178916
31/01/2023,€ 1.180211
01/02/2023,€ 1.180373
02/02/2023,€ 1.181337
03/02/2023,€ 1.179888
04/02/2023,€ 1.180638
05/02/2023,€ 1.178366
06/02/2023,€ 1.180277
07/02/2023,€ 1.181646
08/02/2023,€ 1.181886
09/02/2023,€ 1.182926
10/02/2023,€ 1.181550
11/02/2023,€ 1.182366
12/02/2023,€ 1.180148
13/02/2023,€ 1.182099
14/02/2023,€ 1.183491
15/02/2023,€ 1.183732
16/02/2023,€ 1.184748
17/02/2023,€ 1.183321
18/02/2023,€ 1.184055
19/02/2023,€ 1.181724
20/02/2023,€ 1.183527
21/02/2023,€ 1.184735
22/02/2023,€ 1.184756
23/02/2023,€ 1.185517
24/02/2023,€ 1.183799
25/02/2023,€ 1.184209
26/02/2023,€ 1.181523
27/02/2023,€ 1.182944
28/02/2023,€ 1.183747
01/03/2023,€ 1.183345
02/03/2023,€ 1.183670
03/03/2023,€ 1.181511
04/03/2023,€ 1.181480
05/03/2023,€ 1.178361
06/03/2023,€ 1.179365
07/03/2023,€ 1.179774
08/03/2023,€ 1.179010
09/03/2023,€ 1.179013
10/03/2023,€ 1.176577
11/03/2023,€ 1.176323
12/03/2023,€ 1.173042
13/03/2023,€ 1.173948
14/03/2023,€ 1.174329
15/03/2023,€ 1.173610
16/03/2023,€ 1.173733
17/03/2023,€ 1.171494
18/03/2023,€ 1.171513
19/03/2023,€ 1.168577
20/03/2023,€ 1.169899
21/03/2023,€ 1.170762
22/03/2023,€ 1.170584
23/03/2023,€ 1.171300
24/03/2023,€ 1.169696
25/03/2023,€ 1.170383
26/03/2023,€ 1.168139
27/03/2023,€ 1.170164
28/03/2023,€ 1.171731
29/03/2023,€ 1.172244
30/03/2023,€ 1.173627
31/03/2023,€ 1.172655
01/04/2023,€ 1.173929
02/04/2023,€ 1.172214
03/04/2023,€ 1.174702
04/04/2023,€ 1.176656
05/04/2023,€ 1.177477
06/04/2023,€ 1.179080
07/04/2023,€ 1.178239
08/04/2023,€ 1.179550
09/04/2023,€ 1.177779
10/04/2023,€ 1.180121
11/04/2023,€ 1.181841
12/04/2023,€ 1.182343
13/04/2023,€ 1.183551
14/04/2023,€ 1.182246
15/04/2023,€ 1.183033
16/04/2023,€ 1.180689
17/04/2023,€ 1.182418
18/04/2023,€ 1.183499
19/04/2023,€ 1.183347
20/04/2023,€ 1.183898
21/04/2023,€ 1.181944
22/04/2023,€ 1.182102
23/04/2023,€ 1.179161
24/04/2023,€ 1.180334
25/04/2023,€ 1.180908
26/04/2023,€ 1.180306
27/04/2023,€ 1.180470
28/04/2023,€ 1.178197
29/04/2023,€ 1.178106
30/04/2023,€ 1.174988
01/05/2023,€ 1.176054
02/05/2023,€ 1.176591
03/05/2023,€ 1.176018
04/05/2023,€ 1.176272
05/05/2023,€ 1.174144
06/05/2023,€ 1.174246
07/05/2023,€ 1.171360
08/05/2023,€ 1.172691
09/05/2023,€ 1.173516
10/05/2023,€ 1.173243
11/05/2023,€ 1.173803
12/05/2023,€ 1.171976
13/05/2023,€ 1.172368
14/05/2023,€ 1.169752
15/05/2023,€ 1.171326
16/05/2023,€ 1.172362
17/05/2023,€ 1.172265
18/05/2023,€ 1.172960
19/05/2023,€ 1.171228
20/05/2023,€ 1.171672
21/05/2023,€ 1.169067
22/05/2023,€ 1.170612
23/05/2023,€ 1.171582
24/05/2023,€ 1.171385
25/05/2023,€ 1.171952
26/05/2023,€ 1.170069
27/05/2023,€ 1.170343
28/05/2023,€ 1.167558
29/05/2023,€ 1.168917
30/05/2023,€ 1.169702
31/05/2023,€ 1.169327
01/06/2023,€ 1.169729
02/06/2023,€ 1.167696
03/06/2023,€ 1.167844
04/06/2023,€ 1.164956
05/06/2023,€ 1.166241
06/06/2023,€ 1.166980
07/06/2023,€ 1.166590
08/06/2023,€ 1.167005
09/06/2023,€ 1.165014
10/06/2023,€ 1.165229
11/06/2023,€ 1.162431
12/06/2023,€ 1.163826
13/06/2023,€ 1.164690
14/06/2023,€ 1.164436
15/06/2023,€ 1.164994
16/06/2023,€ 1.163147
17/06/2023,€ 1.163504
18/06/2023,€ 1.160841
19/06/2023,€ 1.162358
20/06/2023,€ 1.163330
21/06/2023,€ 1.163167
22/06/2023,€ 1.163795
23/06/2023,€ 1.161998
24/06/2023,€ 1.162382
25/06/2023,€ 1.159725
26/06/2023,€ 1.161229
27/06/2023,€ 1.162169
28/06/2023,€ 1.161957
29/06/2023,€ 1.162525
30/06/2023,€ 1.160658
01/07/2023,€ 1.160968
02/07/2023,€ 1.158235
03/07/2023,€ 1.159667
04/07/2023,€ 1.160542
05/07/2023,€ 1.160278
06/07/2023,€ 1.160807
07/07/2023,€ 1.158921
08/07/2023,€ 1.159231
09/07/2023,€ 1.156521
10/07/2023,€ 1.157999
11/07/2023,€ 1.158943
12/07/2023,€ 1.158770
13/07/2023,€ 1.159411
14/07/2023,€ 1.157653
15/07/2023,€ 1.158108
16/07/2023,€ 1.155552
17/07/2023,€ 1.157190
18/07/2023,€ 1.158296
19/07/2023,€ 1.158279
20/07/2023,€ 1.159067
21/07/2023,€ 1.157442
22/07/2023,€ 1.158008
23/07/2023,€ 1.155540
24/07/2023,€ 1.157236
25/07/2023,€ 1.158366
26/07/2023,€ 1.158340
27/07/2023,€ 1.159080
28/07/2023,€ 1.157370
29/07/2023,€ 1.157814
30/07/2023,€ 1.155187
31/07/2023,€ 1.156690
01/08/2023,€ 1.157600
02/08/2023,€ 1.157326
03/08/2023,€ 1.157800
04/08/2023,€ 1.155809
05/08/2023,€ 1.155966
06/08/2023,€ 1.153052
07/08/2023,€ 1.154277
08/08/2023,€ 1.154923
09/08/2023,€ 1.154408
10/08/2023,€ 1.154672
11/08/2023,€ 1.152506
12/08/2023,€ 1.152530
13/08/2023,€ 1.149530
14/08/2023,€ 1.150718
15/08/2023,€ 1.151381
16/08/2023,€ 1.150937
17/08/2023,€ 1.151325
18/08/2023,€ 1.149337
19/08/2023,€ 1.149587
20/08/2023,€ 1.146860
21/08/2023,€ 1.148363
22/08/2023,€ 1.149374
23/08/2023,€ 1.149306
24/08/2023,€ 1.150090
25/08/2023,€ 1.148509
26/08/2023,€ 1.149170
27/08/2023,€ 1.146847
28/08/2023,€ 1.148739
29/08/2023,€ 1.150117
30/08/2023,€ 1.150385
31/08/2023,€ 1.151467
01/09/2023,€ 1.150142
02/09/2023,€ 1.151009
03/09/2023,€ 1.148841
04/09/2023,€ 1.150833
05/09/2023,€ 1.152256
06/09/2023,€ 1.152515
07/09/2023,€ 1.153536
08/09/2023,€ 1.152099
09/09/2023,€ 1.152811
10/09/2023,€ 1.150449
11/09/2023,€ 1.152215
12/09/2023,€ 1.153388
13/09/2023,€ 1.153380
14/09/2023,€ 1.154127
15/09/2023,€ 1.152418
16/09/2023,€ 1.152869
17/09/2023,€ 1.150263
18/09/2023,€ 1.151813
19/09/2023,€ 1.152802
20/09/2023,€ 1.152652
21/09/2023,€ 1.153300
22/09/2023,€ 1.151542
23/09/2023,€ 1.151993
24/09/2023,€ 1.149441
25/09/2023,€ 1.151096
26/09/2023,€ 1.152241
27/09/2023,€ 1.152293
28/09/2023,€ 1.153185
29/09/2023,€ 1.151707
30/09/2023,€ 1.152468
01/10/2023,€ 1.150248
02/10/2023,€ 1.152248
03/10/2023,€ 1.153743
04/10/2023,€ 1.154140
05/10/2023,€ 1.155364
06/10/2023,€ 1.154196
07/10/2023,€ 1.155238
08/10/2023,€ 1.153260
09/10/2023,€ 1.155458
10/10/2023,€ 1.157102
11/10/2023,€ 1.157593
12/10/2023,€ 1.158856
13/10/2023,€ 1.157668
14/10/2023,€ 1.158632
15/10/2023,€ 1.156519
16/10/2023,€ 1.158529
17/10/2023,€ 1.159934
18/10/2023,€ 1.160144
19/10/2023,€ 1.161087
20/10/2023,€ 1.159550
21/10/2023,€ 1.160142
22/10/2023,€ 1.157645
23/10/2023,€ 1.159266
24/10/2023,€ 1.160288
25/10/2023,€ 1.160128
26/10/2023,€ 1.160724
27/10/2023,€ 1.158869
28/10/2023,€ 1.159182
29/10/2023,€ 1.156449
30/10/2023,€ 1.157882
31/10/2023,€ 1.158768
01/11/2023,€ 1.158527
02/11/2023,€ 1.159097
03/11/2023,€ 1.157271
