ds,yhat
01/01/2023,3.918420392
02/01/2023,3.930515746
03/01/2023,3.921873228
04/01/2023,3.935116018
05/01/2023,3.926644674
06/01/2023,3.93383268
07/01/2023,3.928297801
08/01/2023,3.928858443
09/01/2023,3.944061968
10/01/2023,3.938230278
11/01/2023,3.95393824
12/01/2023,3.947544785
13/01/2023,3.956389365
14/01/2023,3.95206405
15/01/2023,3.953370457
16/01/2023,3.968848444
17/01/2023,3.962821855
18/01/2023,3.977876914
19/01/2023,3.970393068
20/01/2023,3.977738984
21/01/2023,3.971543988
22/01/2023,3.970654157
23/01/2023,3.983659996
24/01/2023,3.974941039
25/01/2023,3.987142965
26/01/2023,3.976707089
27/01/2023,3.981064946
28/01/2023,3.97190829
29/01/2023,3.968143764
30/01/2023,3.978419198
31/01/2023,3.96716691
01/02/2023,3.977079633
02/02/2023,3.964638964
03/02/2023,3.967309056
04/02/2023,3.95680593
05/02/2023,3.952051653
06/02/2023,3.961700365
07/02/2023,3.950181533
08/02/2023,3.960176056
09/02/2023,3.948145114
10/02/2023,3.951524473
11/02/2023,3.941994604
12/02/2023,3.938435846
13/02/2023,3.949455568
14/02/2023,3.939432682
15/02/2023,3.950995104
16/02/2023,3.940549996
17/02/2023,3.945479511
18/02/2023,3.937412318
19/02/2023,3.935180128
20/02/2023,3.947346127
21/02/2023,3.93825065
22/02/2023,3.950489639
23/02/2023,3.940445729
24/02/2023,3.94548462
25/02/2023,3.93722703
26/02/2023,3.934505422
27/02/2023,3.945892408
28/02/2023,3.935746168
01/03/2023,3.946688432
02/03/2023,3.935134883
03/03/2023,3.938490651
04/03/2023,3.928421224
05/03/2023,3.923807991
06/03/2023,3.933275351
07/03/2023,3.921234762
08/03/2023,3.930361316
09/03/2023,3.917122718
10/03/2023,3.91897341
11/03/2023,3.907624161
12/03/2023,3.901996403
13/03/2023,3.910748269
14/03/2023,3.898317723
15/03/2023,3.907398415
16/03/2023,3.894468137
17/03/2023,3.89698264
18/03/2023,3.886645157
19/03/2023,3.882360877
20/03/2023,3.892763368
21/03/2023,3.882258288
22/03/2023,3.893500026
23/03/2023,3.882921121
24/03/2023,3.887927196
25/03/2023,3.880167705
26/03/2023,3.87849175
27/03/2023,3.891475868
28/03/2023,3.883469157
29/03/2023,3.897071292
30/03/2023,3.888663283
31/03/2023,3.895603646
01/04/2023,3.889500287
02/04/2023,3.88916729
03/04/2023,3.903153523
04/04/2023,3.895788377
05/04/2023,3.909660198
06/04/2023,3.901147242
07/04/2023,3.907613831
08/04/2023,3.900681998
09/04/2023,3.899187841
10/04/2023,3.911709484
11/04/2023,3.902612008
12/04/2023,3.914524924
13/04/2023,3.903872031
14/04/2023,3.908066387
