ds,yhat
01/01/2023,$1.157394
02/01/2023,$1.156323
03/01/2023,$1.154659
04/01/2023,$1.159476
05/01/2023,$1.156141
06/01/2023,$1.156221
07/01/2023,$1.156518
08/01/2023,$1.159438
09/01/2023,$1.158704
10/01/2023,$1.157313
11/01/2023,$1.162332
12/01/2023,$1.159124
13/01/2023,$1.159252
14/01/2023,$1.159516
15/01/2023,$1.162324
16/01/2023,$1.161396
17/01/2023,$1.159734
18/01/2023,$1.164408
19/01/2023,$1.160788
20/01/2023,$1.160444
21/01/2023,$1.160183
22/01/2023,$1.162422
23/01/2023,$1.160895
24/01/2023,$1.158611
25/01/2023,$1.162655
26/01/2023,$1.158407
27/01/2023,$1.157449
28/01/2023,$1.156601
29/01/2023,$1.158292
30/01/2023,$1.156263
31/01/2023,$1.153536
01/02/2023,$1.157202
02/02/2023,$1.152648
03/02/2023,$1.151461
04/02/2023,$1.150463
05/02/2023,$1.152084
06/02/2023,$1.150065
07/02/2023,$1.147424
08/02/2023,$1.151247
09/02/2023,$1.146915
10/02/2023,$1.146005
11/02/2023,$1.145331
12/02/2023,$1.147309
13/02/2023,$1.145670
14/02/2023,$1.143417
15/02/2023,$1.147624
16/02/2023,$1.143657
17/02/2023,$1.143081
18/02/2023,$1.142696
19/02/2023,$1.144908
20/02/2023,$1.143437
21/02/2023,$1.141278
22/02/2023,$1.145497
23/02/2023,$1.141456
24/02/2023,$1.140718
25/02/2023,$1.140083
26/02/2023,$1.141959
27/02/2023,$1.140071
28/02/2023,$1.137421
01/03/2023,$1.141085
02/03/2023,$1.136436
03/03/2023,$1.135051
04/03/2023,$1.133743
05/03/2023,$1.134938
06/03/2023,$1.132376
07/03/2023,$1.129077
08/03/2023,$1.132133
09/03/2023,$1.126935
10/03/2023,$1.125074
11/03/2023,$1.123379
12/03/2023,$1.124287
13/03/2023,$1.121549
14/03/2023,$1.118193
15/03/2023,$1.121318
16/03/2023,$1.116316
17/03/2023,$1.114779
18/03/2023,$1.113534
19/03/2023,$1.115010
20/03/2023,$1.112950
21/03/2023,$1.110371
22/03/2023,$1.114359
23/03/2023,$1.110288
24/03/2023,$1.109734
25/03/2023,$1.109502
26/03/2023,$1.112005
27/03/2023,$1.110962
28/03/2023,$1.109371
29/03/2023,$1.114295
30/03/2023,$1.111093
31/03/2023,$1.111318
01/04/2023,$1.111763
02/04/2023,$1.114823
03/04/2023,$1.114209
04/04/2023,$1.112908
05/04/2023,$1.117978
06/04/2023,$1.114775
07/04/2023,$1.114852
08/04/2023,$1.115007
09/04/2023,$1.117640
10/04/2023,$1.116473
11/04/2023,$1.114504
12/04/2023,$1.118807
13/04/2023,$1.114753
14/04/2023,$1.113916
15/04/2023,$1.113110
16/04/2023,$1.114758
17/04/2023,$1.112601
18/04/2023,$1.109658
19/04/2023,$1.113021
20/04/2023,$1.108081
21/04/2023,$1.106428
22/04/2023,$1.104890
23/04/2023,$1.105905
24/04/2023,$1.103221
25/04/2023,$1.099866
26/04/2023,$1.102936
27/04/2023,$1.097824
28/04/2023,$1.096118
29/04/2023,$1.094643
30/04/2023,$1.095828
01/05/2023,$1.093415
02/05/2023,$1.090418
03/05/2023,$1.093923
04/05/2023,$1.089307
05/05/2023,$1.088142
06/05/2023,$1.087239
07/05/2023,$1.089011
08/05/2023,$1.087183
09/05/2023,$1.084755
10/05/2023,$1.088798
11/05/2023,$1.084677
12/05/2023,$1.083954
13/05/2023,$1.083430
14/05/2023,$1.085511
15/05/2023,$1.083918
16/05/2023,$1.081650
17/05/2023,$1.085776
18/05/2023,$1.081664
19/05/2023,$1.080882
20/05/2023,$1.080235
21/05/2023,$1.082138
22/05/2023,$1.080321
23/05/2023,$1.077793
24/05/2023,$1.081636
25/05/2023,$1.077228
26/05/2023,$1.076148
27/05/2023,$1.075214
28/05/2023,$1.076850
29/05/2023,$1.074797
30/05/2023,$1.072072
31/05/2023,$1.075762
01/06/2023,$1.071252
02/06/2023,$1.070124
03/06/2023,$1.069197
04/06/2023,$1.070895
05/06/2023,$1.068956
06/06/2023,$1.066394
07/06/2023,$1.070291
08/06/2023,$1.066023
09/06/2023,$1.065165
10/06/2023,$1.064527
11/06/2023,$1.066524
12/06/2023,$1.064884
13/06/2023,$1.062609
14/06/2023,$1.066774
15/06/2023,$1.062746
16/06/2023,$1.062092
17/06/2023,$1.061615
18/06/2023,$1.063725
19/06/2023,$1.062146
20/06/2023,$1.059880
21/06/2023,$1.064000
22/06/2023,$1.059875
23/06/2023,$1.059076
24/06/2023,$1.058411
25/06/2023,$1.060297
26/06/2023,$1.058466
27/06/2023,$1.055929
28/06/2023,$1.059768
29/06/2023,$1.055363
30/06/2023,$1.054295
01/07/2023,$1.053383
02/07/2023,$1.055052
03/07/2023,$1.053045
04/07/2023,$1.050379
05/07/2023,$1.054145
06/07/2023,$1.049726
07/07/2023,$1.048706
08/07/2023,$1.047906
09/07/2023,$1.049752
10/07/2023,$1.047981
11/07/2023,$1.045608
12/07/2023,$1.049716
13/07/2023,$1.045681
14/07/2023,$1.045077
15/07/2023,$1.044714
16/07/2023,$1.047007
17/07/2023,$1.045680
18/07/2023,$1.043735
19/07/2023,$1.048243
20/07/2023,$1.044568
21/07/2023,$1.044273
22/07/2023,$1.044158
23/07/2023,$1.046626
24/07/2023,$1.045398
25/07/2023,$1.043470
26/07/2023,$1.047909
27/07/2023,$1.044078
28/07/2023,$1.043543
29/07/2023,$1.043106
30/07/2023,$1.045178
31/07/2023,$1.043487
01/08/2023,$1.041038
02/08/2023,$1.044913
03/08/2023,$1.040486
04/08/2023,$1.039337
05/08/2023,$1.038284
06/08/2023,$1.039754
07/08/2023,$1.037489
08/08/2023,$1.034511
09/08/2023,$1.037912
10/08/2023,$1.033083
11/08/2023,$1.031613
12/08/2023,$1.030331
13/08/2023,$1.031670
14/08/2023,$1.029378
15/08/2023,$1.026478
16/08/2023,$1.030065
17/08/2023,$1.025524
18/08/2023,$1.024442
19/08/2023,$1.023638
20/08/2023,$1.025537
21/08/2023,$1.023873
22/08/2023,$1.021658
23/08/2023,$1.025970
24/08/2023,$1.022180
25/08/2023,$1.021855
26/08/2023,$1.021800
27/08/2023,$1.024422
28/08/2023,$1.023439
29/08/2023,$1.021847
30/08/2023,$1.026711
31/08/2023,$1.023388
01/09/2023,$1.023437
02/09/2023,$1.023652
03/09/2023,$1.026436
04/09/2023,$1.025504
05/09/2023,$1.023850
06/09/2023,$1.028541
07/09/2023,$1.024941
08/09/2023,$1.024613
09/09/2023,$1.024362
10/09/2023,$1.026601
11/09/2023,$1.025058
12/09/2023,$1.022744
13/09/2023,$1.026739
14/09/2023,$1.022423
15/09/2023,$1.021377
16/09/2023,$1.020422
17/09/2023,$1.021988
18/09/2023,$1.019818
19/09/2023,$1.016935
20/09/2023,$1.020434
21/09/2023,$1.015705
22/09/2023,$1.014339
23/09/2023,$1.013163
24/09/2023,$1.014610
25/09/2023,$1.012428
26/09/2023,$1.009637
27/09/2023,$1.013331
28/09/2023,$1.008896
29/09/2023,$1.007914
30/09/2023,$1.007204
01/10/2023,$1.009190
02/10/2023,$1.007607
03/10/2023,$1.005463
04/10/2023,$1.009838
