ds,yhat
01/01/2023,0.296265588
02/01/2023,0.296086578
03/01/2023,0.296985833
04/01/2023,0.296297538
05/01/2023,0.297069066
06/01/2023,0.296486328
07/01/2023,0.296926289
08/01/2023,0.296624405
09/01/2023,0.296248487
10/01/2023,0.296961563
11/01/2023,0.296101334
12/01/2023,0.29671836
13/01/2023,0.296001351
14/01/2023,0.296329616
15/01/2023,0.295940452
16/01/2023,0.295502972
17/01/2023,0.296180943
18/01/2023,0.295312226
19/01/2023,0.295946967
20/01/2023,0.295272906
21/01/2023,0.295667848
22/01/2023,0.2953671
23/01/2023,0.295037346
24/01/2023,0.295839548
25/01/2023,0.295108455
26/01/2023,0.295890873
27/01/2023,0.295371051
28/01/2023,0.295923238
29/01/2023,0.2957792
30/01/2023,0.295602179
31/01/2023,0.296549872
01/02/2023,0.295954013
02/02/2023,0.296858705
03/02/2023,0.296445861
04/02/2023,0.297087814
05/02/2023,0.297014862
06/02/2023,0.296889252
07/02/2023,0.297868169
08/02/2023,0.297283319
09/02/2023,0.298179243
10/02/2023,0.297738738
11/02/2023,0.298335427
12/02/2023,0.298201262
13/02/2023,0.298000452
14/02/2023,0.298892398
15/02/2023,0.298211203
16/02/2023,0.299003929
17/02/2023,0.298455939
18/02/2023,0.298943409
19/02/2023,0.298700758
20/02/2023,0.298394523
21/02/2023,0.299186231
22/02/2023,0.298411866
23/02/2023,0.299120086
24/02/2023,0.298497534
25/02/2023,0.298921328
26/02/2023,0.298626486
27/02/2023,0.298279793
28/02/2023,0.299042689
01/03/2023,0.298250754
02/03/2023,0.298951951
03/03/2023,0.298331974
04/03/2023,0.29876678
05/03/2023,0.298490059
06/03/2023,0.298167155
07/03/2023,0.298958001
08/03/2023,0.298196662
09/03/2023,0.298929622
10/03/2023,0.298341191
11/03/2023,0.298806068
12/03/2023,0.298556859
13/03/2023,0.298258026
14/03/2023,0.299068847
15/03/2023,0.298322972
16/03/2023,0.299066723
17/03/2023,0.298484497
18/03/2023,0.298951317
19/03/2023,0.298700336
20/03/2023,0.298396759
21/03/2023,0.299200772
22/03/2023,0.298447061
23/03/2023,0.299183072
24/03/2023,0.298594363
25/03/2023,0.299057121
26/03/2023,0.298805611
27/03/2023,0.298506057
28/03/2023,0.299319533
29/03/2023,0.298581439
30/03/2023,0.299339735
31/03/2023,0.298780268
01/04/2023,0.299279268
02/04/2023,0.299070791
03/04/2023,0.298820595
04/04/2023,0.299689041
05/04/2023,0.299010586
06/04/2023,0.299832032
07/04/2023,0.299337891
08/04/2023,0.299902915
09/04/2023,0.299759576
10/04/2023,0.299571995
11/04/2023,0.300498883
12/04/2023,0.299873088
13/04/2023,0.300739893
14/04/2023,0.300282424
15/04/2023,0.300874224
16/04/2023,0.30074678
17/04/2023,0.300563474
18/04/2023,0.301482556
19/04/2023,0.300836712
20/04/2023,0.301671367
21/04/2023,0.301170099
22/04/2023,0.301707203
23/04/2023,0.301515204
24/04/2023,0.301258783
25/04/2023,0.302097722
26/04/2023,0.301366422
27/04/2023,0.302112177
28/04/2023,0.301520527
29/04/2023,0.301967777
30/04/2023,0.30168845
01/05/2023,0.301349164
02/05/2023,0.302111522
03/05/2023,0.301311585
04/05/2023,0.301998089
05/05/2023,0.301357772
06/05/2023,0.301767852
07/05/2023,0.301463457
08/05/2023,0.301111484
09/05/2023,0.301873485
10/05/2023,0.301085136
11/05/2023,0.301794471
12/05/2023,0.301187225
13/05/2023,0.301639341
14/05/2023,0.301384438
15/05/2023,0.301087712
16/05/2023,0.301908867
17/05/2023,0.301181642
18/05/2023,0.301952095
19/05/2023,0.301404005
20/05/2023,0.301911435
21/05/2023,0.30170625
22/05/2023,0.301452072
23/05/2023,0.302307252
24/05/2023,0.301604441
25/05/2023,0.302388899
26/05/2023,0.301843924
27/05/2023,0.302343427
28/05/2023,0.302119454
29/05/2023,0.301836137
30/05/2023,0.302652654
31/05/2023,0.301902766
01/06/2023,0.302633112
02/06/2023,0.302028578
03/06/2023,0.302464842
04/06/2023,0.302175837
05/06/2023,0.301827651
06/06/2023,0.302581426
07/06/2023,0.301772845
08/06/2023,0.302450362
09/06/2023,0.301800525
10/06/2023,0.302200468
11/06/2023,0.301885331
12/06/2023,0.301522126
13/06/2023,0.302272602
14/06/2023,0.301472719
15/06/2023,0.302170859
16/06/2023,0.30155316
17/06/2023,0.301996003
18/06/2023,0.301733464
19/06/2023,0.301431197
20/06/2023,0.302249343
21/06/2023,0.301522042
22/06/2023,0.302295698
23/06/2023,0.301754361
24/06/2023,0.302272281
25/06/2023,0.302081412
26/06/2023,0.301845357
27/06/2023,0.302722337
28/06/2023,0.302044755
29/06/2023,0.302857514
30/06/2023,0.302343442
01/07/2023,0.302875883
02/07/2023,0.302686228
03/07/2023,0.302437883
04/07/2023,0.303289246
05/07/2023,0.302573269
