ds,yhat
01/01/2023,0.253516161
02/01/2023,0.252884671
03/01/2023,0.253341012
04/01/2023,0.252641648
05/01/2023,0.253040898
06/01/2023,0.252734907
07/01/2023,0.25286863
08/01/2023,0.253023214
09/01/2023,0.25223646
10/01/2023,0.252552247
11/01/2023,0.251729478
12/01/2023,0.252024591
13/01/2023,0.251635481
14/01/2023,0.251708441
15/01/2023,0.251825515
16/01/2023,0.25102494
17/01/2023,0.251350552
18/01/2023,0.250560736
19/01/2023,0.250910946
20/01/2023,0.250597647
21/01/2023,0.250765282
22/01/2023,0.250993675
23/01/2023,0.250318512
24/01/2023,0.250780813
25/01/2023,0.250135938
26/01/2023,0.250636182
27/01/2023,0.250474786
28/01/2023,0.250792981
29/01/2023,0.25116746
30/01/2023,0.250630936
31/01/2023,0.251221681
01/02/2023,0.250692596
02/02/2023,0.251293863
03/02/2023,0.251217
04/02/2023,0.251601949
05/02/2023,0.252024574
06/02/2023,0.251517234
07/02/2023,0.252118329
08/02/2023,0.251581364
09/02/2023,0.252157574
10/02/2023,0.252039964
11/02/2023,0.252370338
12/02/2023,0.252726761
13/02/2023,0.252144065
14/02/2023,0.252663331
15/02/2023,0.25204088
16/02/2023,0.252530829
17/02/2023,0.252329043
18/02/2023,0.252580105
19/02/2023,0.252864687
20/02/2023,0.252219998
21/02/2023,0.252689201
22/02/2023,0.252030344
23/02/2023,0.252498877
24/02/2023,0.252291562
25/02/2023,0.252553422
26/02/2023,0.252865098
27/02/2023,0.252263301
28/02/2023,0.252790235
01/03/2023,0.252202561
02/03/2023,0.252753941
03/03/2023,0.252639004
04/03/2023,0.253000342
05/03/2023,0.253415942
06/03/2023,0.252919696
07/03/2023,0.253550908
08/03/2023,0.253063333
09/03/2023,0.253707794
10/03/2023,0.25367623
11/03/2023,0.254108763
12/03/2023,0.254581192
13/03/2023,0.254125569
14/03/2023,0.254779752
15/03/2023,0.254296484
16/03/2023,0.254926046
17/03/2023,0.254860313
18/03/2023,0.255239828
19/03/2023,0.25564129
20/03/2023,0.255098111
21/03/2023,0.255649929
22/03/2023,0.255051651
23/03/2023,0.255556047
24/03/2023,0.255357746
25/03/2023,0.255600245
26/03/2023,0.255863317
27/03/2023,0.255183491
