ds,yhat
01/01/2023,$0.293623
02/01/2023,$0.292719
03/01/2023,$0.292854
04/01/2023,$0.293051
05/01/2023,$0.292855
06/01/2023,$0.292373
07/01/2023,$0.292780
08/01/2023,$0.293368
09/01/2023,$0.292347
10/01/2023,$0.292369
11/01/2023,$0.292460
12/01/2023,$0.292166
13/01/2023,$0.291595
14/01/2023,$0.291923
15/01/2023,$0.292443
16/01/2023,$0.291365
17/01/2023,$0.291342
18/01/2023,$0.291399
19/01/2023,$0.291082
20/01/2023,$0.290500
21/01/2023,$0.290827
22/01/2023,$0.291356
23/01/2023,$0.290296
24/01/2023,$0.290299
25/01/2023,$0.290389
26/01/2023,$0.290111
27/01/2023,$0.289573
28/01/2023,$0.289947
29/01/2023,$0.290526
30/01/2023,$0.289516
31/01/2023,$0.289570
01/02/2023,$0.289711
02/02/2023,$0.289482
03/02/2023,$0.288991
04/02/2023,$0.289409
05/02/2023,$0.290028
06/02/2023,$0.289055
07/02/2023,$0.289141
08/02/2023,$0.289309
09/02/2023,$0.289102
10/02/2023,$0.288628
11/02/2023,$0.289058
12/02/2023,$0.289685
13/02/2023,$0.288714
14/02/2023,$0.288798
15/02/2023,$0.288959
16/02/2023,$0.288741
17/02/2023,$0.288252
18/02/2023,$0.288663
19/02/2023,$0.289266
20/02/2023,$0.288269
21/02/2023,$0.288323
22/02/2023,$0.288452
23/02/2023,$0.288200
24/02/2023,$0.287674
25/02/2023,$0.288046
26/02/2023,$0.288610
27/02/2023,$0.287572
28/02/2023,$0.287584
01/03/2023,$0.287672
02/03/2023,$0.287378
03/03/2023,$0.286811
04/03/2023,$0.287145
05/03/2023,$0.287671
06/03/2023,$0.286599
07/03/2023,$0.286580
08/03/2023,$0.286640
09/03/2023,$0.286323
10/03/2023,$0.285738
11/03/2023,$0.286059
12/03/2023,$0.286579
13/03/2023,$0.285506
14/03/2023,$0.285494
15/03/2023,$0.285567
16/03/2023,$0.285271
17/03/2023,$0.284713
18/03/2023,$0.285069
19/03/2023,$0.285631
20/03/2023,$0.284606
21/03/2023,$0.284649
22/03/2023,$0.284782
23/03/2023,$0.284550
24/03/2023,$0.284061
25/03/2023,$0.284487
26/03/2023,$0.285122
27/03/2023,$0.284170
28/03/2023,$0.284285
29/03/2023,$0.284488
30/03/2023,$0.284322
31/03/2023,$0.283895
01/04/2023,$0.284378
02/04/2023,$0.285061
03/04/2023,$0.284150
04/04/2023,$0.284296
05/04/2023,$0.284521
06/04/2023,$0.284368
07/04/2023,$0.283943
08/04/2023,$0.284416
09/04/2023,$0.285079
10/04/2023,$0.284138
11/04/2023,$0.284244
