ds,yhat
01/01/2023,€ 1.005510
02/01/2023,€ 1.008023
03/01/2023,€ 1.010617
04/01/2023,€ 1.007672
05/01/2023,€ 1.011071
06/01/2023,€ 1.010493
07/01/2023,€ 1.010983
08/01/2023,€ 1.007810
09/01/2023,€ 1.010022
10/01/2023,€ 1.012331
11/01/2023,€ 1.009124
12/01/2023,€ 1.012292
13/01/2023,€ 1.011518
14/01/2023,€ 1.011855
15/01/2023,€ 1.008574
16/01/2023,€ 1.010728
17/01/2023,€ 1.013030
18/01/2023,€ 1.009868
19/01/2023,€ 1.013133
20/01/2023,€ 1.012506
21/01/2023,€ 1.013037
22/01/2023,€ 1.009993
23/01/2023,€ 1.012422
24/01/2023,€ 1.015031
25/01/2023,€ 1.012200
26/01/2023,€ 1.015815
27/01/2023,€ 1.015547
28/01/2023,€ 1.016438
29/01/2023,€ 1.013748
30/01/2023,€ 1.016514
31/01/2023,€ 1.019439
01/02/2023,€ 1.016895
02/02/2023,€ 1.020759
03/02/2023,€ 1.020699
04/02/2023,€ 1.021753
05/02/2023,€ 1.019177
06/02/2023,€ 1.022007
07/02/2023,€ 1.024943
08/02/2023,€ 1.022359
09/02/2023,€ 1.026135
10/02/2023,€ 1.025941
11/02/2023,€ 1.026818
12/02/2023,€ 1.024029
13/02/2023,€ 1.026615
14/02/2023,€ 1.029284
15/02/2023,€ 1.026415
16/02/2023,€ 1.029898
17/02/2023,€ 1.029409
18/02/2023,€ 1.029997
19/02/2023,€ 1.026931
20/02/2023,€ 1.029260
21/02/2023,€ 1.031697
22/02/2023,€ 1.028628
23/02/2023,€ 1.031944
24/02/2023,€ 1.031327
25/02/2023,€ 1.031826
26/02/2023,€ 1.028711
27/02/2023,€ 1.031031
28/02/2023,€ 1.033497
01/03/2023,€ 1.030492
02/03/2023,€ 1.033904
03/03/2023,€ 1.033408
04/03/2023,€ 1.034050
05/03/2023,€ 1.031093
06/03/2023,€ 1.033580
07/03/2023,€ 1.036214
08/03/2023,€ 1.033373
09/03/2023,€ 1.036937
10/03/2023,€ 1.036577
11/03/2023,€ 1.037332
12/03/2023,€ 1.034460
13/03/2023,€ 1.037001
14/03/2023,€ 1.039657
15/03/2023,€ 1.036800
16/03/2023,€ 1.040313
17/03/2023,€ 1.039866
18/03/2023,€ 1.040501
19/03/2023,€ 1.037478
20/03/2023,€ 1.039841
21/03/2023,€ 1.042296
22/03/2023,€ 1.039223
23/03/2023,€ 1.042509
24/03/2023,€ 1.041833
25/03/2023,€ 1.042241
26/03/2023,€ 1.039004
27/03/2023,€ 1.041169
28/03/2023,€ 1.043451
29/03/2023,€ 1.040236
30/03/2023,€ 1.043416
31/03/2023,€ 1.042672
01/04/2023,€ 1.043058
02/04/2023,€ 1.039843
03/04/2023,€ 1.042077
04/04/2023,€ 1.044476
05/04/2023,€ 1.041421
06/04/2023,€ 1.044804
07/04/2023,€ 1.044302
08/04/2023,€ 1.044963
09/04/2023,€ 1.042050
10/04/2023,€ 1.044608
11/04/2023,€ 1.047343
12/04/2023,€ 1.044631
13/04/2023,€ 1.048353
14/04/2023,€ 1.048180
15/04/2023,€ 1.049150
16/04/2023,€ 1.046522
17/04/2023,€ 1.049331
18/04/2023,€ 1.052278
19/04/2023,€ 1.049733
20/04/2023,€ 1.053575
21/04/2023,€ 1.053470
22/04/2023,€ 1.054456
23/04/2023,€ 1.051790
24/04/2023,€ 1.054509
25/04/2023,€ 1.057316
26/04/2023,€ 1.054585
27/04/2023,€ 1.058199
28/04/2023,€ 1.057831
29/04/2023,€ 1.058524
30/04/2023,€ 1.055542
01/05/2023,€ 1.057932
02/05/2023,€ 1.060402
03/05/2023,€ 1.057335
04/05/2023,€ 1.060623
05/05/2023,€ 1.059944
06/05/2023,€ 1.060349
07/05/2023,€ 1.057110
08/05/2023,€ 1.059275
09/05/2023,€ 1.061560
10/05/2023,€ 1.058350
11/05/2023,€ 1.061537
12/05/2023,€ 1.060803
13/05/2023,€ 1.061196
14/05/2023,€ 1.057985
15/05/2023,€ 1.060219
16/05/2023,€ 1.062606
17/05/2023,€ 1.059529
18/05/2023,€ 1.062872
19/05/2023,€ 1.062312
20/05/2023,€ 1.062890
21/05/2023,€ 1.059869
22/05/2023,€ 1.062289
23/05/2023,€ 1.064854
24/05/2023,€ 1.061938
25/05/2023,€ 1.065422
26/05/2023,€ 1.064976
27/05/2023,€ 1.065638
28/05/2023,€ 1.062667
29/05/2023,€ 1.065101
30/05/2023,€ 1.067643
31/05/2023,€ 1.064669
01/06/2023,€ 1.068059
02/06/2023,€ 1.067486
03/06/2023,€ 1.067992
04/06/2023,€ 1.064840
05/06/2023,€ 1.067074
06/06/2023,€ 1.069402
07/06/2023,€ 1.066206
08/06/2023,€ 1.069373
09/06/2023,€ 1.068582
10/06/2023,€ 1.068882
11/06/2023,€ 1.065542
12/06/2023,€ 1.067611
13/06/2023,€ 1.069803
14/06/2023,€ 1.066503
15/06/2023,€ 1.069602
16/06/2023,€ 1.068782
17/06/2023,€ 1.069092
18/06/2023,€ 1.065801
19/06/2023,€ 1.067958
20/06/2023,€ 1.070273
21/06/2023,€ 1.067129
22/06/2023,€ 1.070413
23/06/2023,€ 1.069800
24/06/2023,€ 1.070336
25/06/2023,€ 1.067282
26/06/2023,€ 1.069681
27/06/2023,€ 1.072237
28/06/2023,€ 1.069325
29/06/2023,€ 1.072825
30/06/2023,€ 1.072408
01/07/2023,€ 1.073111
02/07/2023,€ 1.070194
03/07/2023,€ 1.072694
04/07/2023,€ 1.075311
05/07/2023,€ 1.072420
06/07/2023,€ 1.075899
07/07/2023,€ 1.075420
08/07/2023,€ 1.076022
09/07/2023,€ 1.072966
10/07/2023,€ 1.075292
11/07/2023,€ 1.077708
12/07/2023,€ 1.074590
13/07/2023,€ 1.077826
14/07/2023,€ 1.077092
15/07/2023,€ 1.077434
16/07/2023,€ 1.074120
17/07/2023,€ 1.076199
18/07/2023,€ 1.078382
19/07/2023,€ 1.075055
20/07/2023,€ 1.078108
21/07/2023,€ 1.077224
22/07/2023,€ 1.077454
23/07/2023,€ 1.074067
24/07/2023,€ 1.076115
25/07/2023,€ 1.078309
26/07/2023,€ 1.075036
27/07/2023,€ 1.078185
28/07/2023,€ 1.077435
29/07/2023,€ 1.077834
30/07/2023,€ 1.074648
31/07/2023,€ 1.076922
01/08/2023,€ 1.079362
02/08/2023,€ 1.076349
03/08/2023,€ 1.079764
04/08/2023,€ 1.079280
05/08/2023,€ 1.079939
06/08/2023,€ 1.076999
07/08/2023,€ 1.079499
08/08/2023,€ 1.082142
09/08/2023,€ 1.079300
10/08/2023,€ 1.082853
11/08/2023,€ 1.082469
12/08/2023,€ 1.083188
13/08/2023,€ 1.080268
14/08/2023,€ 1.082747
15/08/2023,€ 1.085328
16/08/2023,€ 1.082387
17/08/2023,€ 1.085806
18/08/2023,€ 1.085257
19/08/2023,€ 1.085784
20/08/2023,€ 1.082651
21/08/2023,€ 1.084902
22/08/2023,€ 1.087246
23/08/2023,€ 1.084065
24/08/2023,€ 1.087248
25/08/2023,€ 1.086473
26/08/2023,€ 1.086791
27/08/2023,€ 1.083470
28/08/2023,€ 1.085560
29/08/2023,€ 1.087774
30/08/2023,€ 1.084499
31/08/2023,€ 1.087625
01/09/2023,€ 1.086833
02/09/2023,€ 1.087174
03/09/2023,€ 1.083917
04/09/2023,€ 1.086110
05/09/2023,€ 1.088466
06/09/2023,€ 1.085367
07/09/2023,€ 1.088701
08/09/2023,€ 1.088144
