ds,yhat
01/01/2023,0.861592925
02/01/2023,0.862244568
03/01/2023,0.863344732
04/01/2023,0.860469319
05/01/2023,0.862485164
06/01/2023,0.862725129
07/01/2023,0.862239479
08/01/2023,0.860888563
09/01/2023,0.861316765
10/01/2023,0.862225227
11/01/2023,0.8591943
12/01/2023,0.861094724
13/01/2023,0.8612626
14/01/2023,0.860750672
15/01/2023,0.859420908
16/01/2023,0.859918381
17/01/2023,0.860943938
18/01/2023,0.858076625
19/01/2023,0.860184854
20/01/2023,0.860601404
21/01/2023,0.86037474
22/01/2023,0.85936167
23/01/2023,0.860201328
24/01/2023,0.861587956
25/01/2023,0.859093473
26/01/2023,0.861578808
27/01/2023,0.862369066
28/01/2023,0.86250504
29/01/2023,0.861836052
30/01/2023,0.862994129
31/01/2023,0.864666973
01/02/2023,0.862420705
02/02/2023,0.865111357
03/02/2023,0.86606019
04/02/2023,0.866305312
05/02/2023,0.865694623
06/02/2023,0.866860043
07/02/2023,0.868490514
08/02/2023,0.866154732
09/02/2023,0.868712602
10/02/2023,0.869490469
11/02/2023,0.869532632
12/02/2023,0.868694139
13/02/2023,0.869614843
14/02/2023,0.870992205
15/02/2023,0.868403812
16/02/2023,0.870718591
17/02/2023,0.871271807
18/02/2023,0.871116326
19/02/2023,0.870115172
20/02/2023,0.870915358
21/02/2023,0.872220467
22/02/2023,0.869612984
23/02/2023,0.871965354
24/02/2023,0.872614844
25/02/2023,0.872614718
26/02/2023,0.871826746
27/02/2023,0.872895023
28/02/2023,0.874518592
01/03/2023,0.872273855
02/03/2023,0.875025749
03/03/2023,0.876102774
04/03/2023,0.876548368
05/03/2023,0.876213646
06/03/2023,0.877731472
07/03/2023,0.879789364
08/03/2023,0.877952191
09/03/2023,0.88107365
10/03/2023,0.88247158
11/03/2023,0.883179631
12/03/2023,0.883040258
13/03/2023,0.884679046
14/03/2023,0.886777823
15/03/2023,0.88489753
16/03/2023,0.887889832
17/03/2023,0.889072521
18/03/2023,0.889481219
19/03/2023,0.888962364
20/03/2023,0.890147473
21/03/2023,0.891726134
22/03/2023,0.889268729
