ds,yhat
01/01/2023,3.40029566
02/01/2023,3.412081414
03/01/2023,3.409783675
04/01/2023,3.407385581
05/01/2023,3.409604923
06/01/2023,3.414869196
07/01/2023,3.410121544
08/01/2023,3.402055481
09/01/2023,3.415424979
10/01/2023,3.414663539
11/01/2023,3.413730293
12/01/2023,3.417320963
13/01/2023,3.423843313
14/01/2023,3.420223433
15/01/2023,3.413140724
16/01/2023,3.427338195
17/01/2023,3.427241654
18/01/2023,3.426805866
19/01/2023,3.430725495
20/01/2023,3.437410464
21/01/2023,3.433792086
22/01/2023,3.42655783
23/01/2023,3.440461359
24/01/2023,3.439941397
25/01/2023,3.438967549
26/01/2023,3.442250862
27/01/2023,3.448218796
28/01/2023,3.443820953
29/01/2023,3.435763448
30/01/2023,3.44881856
31/01/2023,3.447443236
01/02/2023,3.445624566
02/02/2023,3.448090041
03/02/2023,3.453282257
04/02/2023,3.448164418
05/02/2023,3.439454529
06/02/2023,3.451934911
07/02/2023,3.450070621
08/02/2023,3.447854889
09/02/2023,3.450019377
10/02/2023,3.455008926
11/02/2023,3.449787142
12/02/2023,3.441070702
13/02/2023,3.453639004
14/02/2023,3.451952748
15/02/2023,3.44999955
16/02/2023,3.452504382
17/02/2023,3.457904507
18/02/2023,3.453155256
19/02/2023,3.444964511
20/02/2023,3.458102528
21/02/2023,3.457020679
22/02/2023,3.455697207
23/02/2023,3.458847794
24/02/2023,3.464900607
25/02/2023,3.460802159
26/02/2023,3.453251873
27/02/2023,3.467011959
28/02/2023,3.4665262
01/03/2023,3.465765733
02/03/2023,3.469439647
03/03/2023,3.475970036
04/03/2023,3.472297875
05/03/2023,3.465117588
06/03/2023,3.479186938
07/03/2023,3.478945823
08/03/2023,3.478362077
09/03/2023,3.482142083
10/03/2023,3.488705859
11/03/2023,3.484992967
12/03/2023,3.477697119
13/03/2023,3.491576106
14/03/2023,3.491070647
15/03/2023,3.490150221
16/03/2023,3.493523736
17/03/2023,3.499614638
18/03/2023,3.495366852
19/03/2023,3.487479397
20/03/2023,3.500716324
21/03/2023,3.49952553
22/03/2023,3.497884567
23/03/2023,3.500511239
24/03/2023,3.505838631
25/03/2023,3.500820939
26/03/2023,3.492167961
27/03/2023,3.50465487
28/03/2023,3.502740868
29/03/2023,3.500414793
30/03/2023,3.502405512
31/03/2023,3.507156743
01/04/2023,3.501632659
02/04/2023,3.49255216
03/04/2023,3.504698435
04/04/2023,3.50253741
05/04/2023,3.500063178
06/04/2023,3.502008229
07/04/2023,3.506818138
08/04/2023,3.501457072
09/04/2023,3.492642003
10/04/2023,3.505152248
11/04/2023,3.503447943
12/04/2023,3.501515538
13/04/2023,3.504078136
14/04/2023,3.509570343
15/04/2023,3.504943967
16/04/2023,3.496902464
17/04/2023,3.510210745
18/04/2023,3.509313943
19/04/2023,3.508183223
20/04/2023,3.51152645
21/04/2023,3.517763368
22/04/2023,3.513831632
23/04/2023,3.506421578
24/04/2023,3.520286323
25/04/2023,3.519860814
26/04/2023,3.519107874
27/04/2023,3.522729067
28/04/2023,3.529140035
29/04/2023,3.525276628
30/04/2023,3.517829718
01/05/2023,3.531555298
02/05/2023,3.530893456
03/05/2023,3.529814303
04/05/2023,3.533028664
05/05/2023,3.538963186
06/05/2023,3.534566203
07/05/2023,3.526542238
08/05/2023,3.539661771
09/05/2023,3.53837985
10/05/2023,3.536681647
11/05/2023,3.53929278
12/05/2023,3.544654046
13/05/2023,3.539726936
14/05/2023,3.531227814
15/05/2023,3.543937389
16/05/2023,3.542319073
17/05/2023,3.54036434
18/05/2023,3.542802893
19/05/2023,3.548077312
20/05/2023,3.543148535
21/05/2023,3.534730073
22/05/2023,3.547597566
23/05/2023,3.546207302
24/05/2023,3.544541773
25/05/2023,3.547320101
26/05/2023,3.552972978
27/05/2023,3.548448487
28/05/2023,3.540446663
29/05/2023,3.55372943
30/05/2023,3.552739495
31/05/2023,3.551446281
01/06/2023,3.554556712
02/06/2023,3.560490491
03/06/2023,3.556186225
04/06/2023,3.548336242
05/06/2023,3.561696752
06/06/2023,3.560706889
07/06/2023,3.559334752
08/06/2023,3.562288226
09/06/2023,3.567990235
10/06/2023,3.56338478
11/06/2023,3.555171618
12/06/2023,3.568116209
13/06/2023,3.566668517
14/06/2023,3.564808749
15/06/2023,3.567257846
16/06/2023,3.57245238
17/06/2023,3.567350215
18/06/2023,3.558664802
19/06/2023,3.571174752
20/06/2023,3.569342272
21/06/2023,3.567158557
22/06/2023,3.569353977
23/06/2023,3.574372708
24/06/2023,3.569178167
25/06/2023,3.560487151
26/06/2023,3.573079296
27/06/2023,3.571415469
28/06/2023,3.569483182
29/06/2023,3.572006855
30/06/2023,3.577422584
01/07/2023,3.572683778
02/07/2023,3.564495536
03/07/2023,3.577624404
04/07/2023,3.57651709
05/07/2023,3.575146233
06/07/2023,3.578221038
07/07/2023,3.58416243
08/07/2023,3.579909066
09/07/2023,3.572152084
10/07/2023,3.585645205
11/07/2023,3.584823768
12/07/2023,3.583650778
13/07/2023,3.586827777
14/07/2023,3.59277018
15/07/2023,3.588413419
16/07/2023,3.580447761
17/07/2023,3.593628429
18/07/2023,3.592394581
19/07/2023,3.590715263
20/07/2023,3.593300124
21/07/2023,3.598574542
22/07/2023,3.593485523
23/07/2023,3.584736239
24/07/2023,3.59709583
25/07/2023,3.595018062
26/07/2023,3.592486933
27/07/2023,3.594227043
28/07/2023,3.598678393
29/07/2023,3.592801959
30/07/2023,3.583313933
31/07/2023,3.594995264
01/08/2023,3.592310086
02/08/2023,3.589251138
03/08/2023,3.590549995
04/08/2023,3.594651767
05/08/2023,3.588520641
06/08/2023,3.578874117
07/08/2023,3.590492606
08/08/2023,3.587837951
09/08/2023,3.584898983
10/08/2023,3.586401922
11/08/2023,3.590785278
12/08/2023,3.585005608
13/08/2023,3.575771997
14/08/2023,3.58785589
15/08/2023,3.585709868
16/08/2023,3.583313437
17/08/2023,3.585383659
18/08/2023,3.590350258
19/08/2023,3.585161563
20/08/2023,3.576519141
21/08/2023,3.589187761
22/08/2023,3.587614249
23/08/2023,3.585773344
24/08/2023,3.588378342
25/08/2023,3.593856195
26/08/2023,3.589153407
27/08/2023,3.580970597
28/08/2023,3.594072365
29/08/2023,3.592906035
30/08/2023,3.591447377
31/08/2023,3.594411115
01/09/2023,3.600225881
02/09/2023,3.595839973
03/09/2023,3.587955782
04/09/2023,3.601339536
05/09/2023,3.600439945
06/09/2023,3.599233824
07/09/2023,3.602436553
08/09/2023,3.608476983
09/09/2023,3.604303182
10/09/2023,3.596616876
11/09/2023,3.610183231
12/09/2023,3.609449544
13/09/2023,3.60839096
14/09/2023,3.61172101
15/09/2023,3.617866629
16/09/2023,3.613774009
17/09/2023,3.606143157
18/09/2023,3.619737781
19/09/2023,3.619004093
20/09/2023,3.617916608
21/09/2023,3.621188757
22/09/2023,3.627247964
23/09/2023,3.623041525
24/09/2023,3.615271173
25/09/2023,3.628702944
26/09/2023,3.627785934
27/09/2023,3.626498023
28/09/2023,3.629556399
29/09/2023,3.635392509
30/09/2023,3.630957811
01/10/2023,3.622958191
02/10/2023,3.636163673
03/10/2023,3.635027016
04/10/2023,3.633529292
05/10/2023,3.636390256
06/10/2023,3.642043173
07/10/2023,3.637440456
08/10/2023,3.629288001
09/10/2023,3.642354839
10/10/2023,3.641091715
11/10/2023,3.639476669
12/10/2023,3.642225464
13/10/2023,3.647766494
14/10/2023,3.643046548
15/10/2023,3.634765294
16/10/2023,3.647685119
17/10/2023,3.64624992
18/10/2023,3.644430917
19/10/2023,3.646937323
20/10/2023,3.652191505
21/10/2023,3.647134999
22/10/2023,3.638463233
23/10/2023,3.650935603
24/10/2023,3.648994451
25/10/2023,3.646611058
26/10/2023,3.648496442
27/10/2023,3.653076608
28/10/2023,3.647298601
29/10/2023,3.637865221
30/10/2023,3.649545026
31/10/2023,3.646791193
01/11/2023,3.643587338
02/11/2023,3.644658082
03/11/2023,3.64844404
04/11/2023,3.641907547
05/11/2023,3.631767036
06/11/2023,3.64280666
07/11/2023,3.639494766
08/11/2023,3.635829311
09/11/2023,3.63654804
10/11/2023,3.64010308
11/11/2023,3.633466322
12/11/2023,3.623363466
13/11/2023,3.634583363
14/11/2023,3.631596268
15/11/2023,3.628399081
16/11/2023,3.629725431
17/11/2023,3.634020239
18/11/2023,3.628245141
19/11/2023,3.619112654
20/11/2023,3.631395716
21/11/2023,3.629546196
22/11/2023,3.627540473
23/11/2023,3.630089909
24/11/2023,3.635615852
25/11/2023,3.631055552
26/11/2023,3.62309684
27/11/2023,3.636488202
28/11/2023,3.635657841
29/11/2023,3.634559786
30/11/2023,3.637884888
01/12/2023,3.644036313
02/12/2023,3.639935894
03/12/2023,3.632259206
04/12/2023,3.645745961
05/12/2023,3.644819317
06/12/2023,3.643432163
07/12/2023,3.646278192
08/12/2023,3.651767392
09/12/2023,3.646832308
10/12/2023,3.63816293
11/12/2023,3.224
12/12/2023,3.2138
13/12/2023,3.2208
14/12/2023,3.229
15/12/2023,3.2269
16/12/2023,3.2193
17/12/2023,3.2243
18/12/2023,3.2125
19/12/2023,3.2105
20/12/2023,3.2082
21/12/2023,3.2227
22/12/2023,3.2248
23/12/2023,3.2364
24/12/2023,3.2523
25/12/2023,3.2524
26/12/2023,3.2546
27/12/2023,3.2714
28/12/2023,3.272
29/12/2023,3.2735
30/12/2023,3.2898
31/12/2023,3.2982
01/01/2022,3.287
02/01/2022,3.2726
03/01/2022,3.2611
04/01/2022,3.2838
05/01/2022,3.2801
06/01/2022,3.2776
07/01/2022,3.2785
08/01/2022,3.2706
09/01/2022,3.2735
10/01/2022,3.2615
11/01/2022,3.2674
12/01/2022,3.2671
13/01/2022,3.257
14/01/2022,3.2528
15/01/2022,3.2571
16/01/2022,3.2463
17/01/2022,3.2408
18/01/2022,3.2504
19/01/2022,3.2574
20/01/2022,3.2644
21/01/2022,3.2769
22/01/2022,3.267
23/01/2022,3.2555
24/01/2022,3.2391
25/01/2022,3.243
26/01/2022,3.2509
27/01/2022,3.241
28/01/2022,3.2407
29/01/2022,3.2428
30/01/2022,3.2447
31/01/2022,3.2497
01/02/2022,3.2545
02/02/2022,3.2461
03/02/2022,3.2406
04/02/2022,3.2469
05/02/2022,3.2473
06/02/2022,3.2406
07/02/2022,3.2466
08/02/2022,3.2399
09/02/2022,3.2477
10/02/2022,3.2538
11/02/2022,3.2539
12/02/2022,3.2651
13/02/2022,3.2517
14/02/2022,3.2774
15/02/2022,3.2724
16/02/2022,3.2857
17/02/2022,3.2853
18/02/2022,3.2889
19/02/2022,3.259
20/02/2022,3.2488
21/02/2022,3.2558
22/02/2022,3.2654
23/02/2022,3.2606
24/02/2022,3.2487
25/02/2022,3.2449
26/02/2022,3.2473
27/02/2022,3.2492
28/02/2022,3.2389
01/03/2022,3.2355
02/03/2022,3.2551
03/03/2022,3.2572
04/03/2022,3.2641
05/03/2022,3.2483
06/03/2022,3.2577
07/03/2022,3.2775
08/03/2022,3.2797
09/03/2022,3.279
10/03/2022,3.2896
11/03/2022,3.2926
12/03/2022,3.2879
13/03/2022,3.2798
14/03/2022,3.2898
15/03/2022,3.2944
16/03/2022,3.3092
17/03/2022,3.33
18/03/2022,3.33
19/03/2022,3.337
20/03/2022,3.3334
21/03/2022,3.3294
22/03/2022,3.3298
23/03/2022,3.3249
24/03/2022,3.3118
25/03/2022,3.2936
26/03/2022,3.2972
27/03/2022,3.2988
28/03/2022,3.287
29/03/2022,3.2838
30/03/2022,3.2899
31/03/2022,3.3068
01/04/2022,3.3227
02/04/2022,3.3035
03/04/2022,3.3191
04/04/2022,3.3247
05/04/2022,3.3428
06/04/2022,3.3284
07/04/2022,3.3169
08/04/2022,3.3078
09/04/2022,3.2951
10/04/2022,3.3015
11/04/2022,3.3092
12/04/2022,3.2945
13/04/2022,3.2626
14/04/2022,3.2661
15/04/2022,3.2632
16/04/2022,3.2695
17/04/2022,3.2709
18/04/2022,3.2651
19/04/2022,3.2401
20/04/2022,3.2413
21/04/2022,3.2501
22/04/2022,3.2472
23/04/2022,3.2571
24/04/2022,3.2482
25/04/2022,3.2571
26/04/2022,3.2871
27/04/2022,3.2899
28/04/2022,3.2981
29/04/2022,3.2981
30/04/2022,3.2932
01/05/2022,3.2771
02/05/2022,3.2806
03/05/2022,3.2648
04/05/2022,3.2627
05/05/2022,3.2743
06/05/2022,3.2708
07/05/2022,3.2728
08/05/2022,3.2651
09/05/2022,3.252
10/05/2022,3.2322
11/05/2022,3.2672
12/05/2022,3.1825
13/05/2022,3.1261
14/05/2022,3.1501
15/05/2022,3.1708
16/05/2022,3.1866
17/05/2022,3.1805
18/05/2022,3.1827
19/05/2022,3.2017
20/05/2022,3.2091
21/05/2022,3.2141
22/05/2022,3.2107
23/05/2022,3.2131
24/05/2022,3.2163
25/05/2022,3.2193
26/05/2022,3.2176
27/05/2022,3.2129
28/05/2022,3.2141
29/05/2022,3.2295
30/05/2022,3.247
31/05/2022,3.235
01/06/2022,3.2399
02/06/2022,3.2505
03/06/2022,3.2511
04/06/2022,3.259
05/06/2022,3.2544
06/06/2022,3.2514
07/06/2022,3.2531
08/06/2022,3.2571
09/06/2022,3.2545
10/06/2022,3.2671
11/06/2022,3.2628
